fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,June,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,0,873,15,0,0,5,60,2608,30,15,98946,0,25877,99.37757,99.63947,2,2,87540,190973,0,140105,287205,2613,0.2619,30,29,0,0,100,NA
2023-2024,June,32,WEST BENGAL,3208,COOCHBEHAR,0,0,0,0,0,444,128,73799,0,0,574372,0,7372,212.83551,212.83551,0,0,562861,1086684,0,660485,1254697,74243,0,0,39,0.6,4.68,0,NA
2023-2024,June,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,0,394.670076055599,31,2,0,462,196,88531,7626,2580,322551,26,166010,329.46427,359.56181,241,401,691990,1458534,0,888444,1774800,88993,30.09754,3184,51,28.83,1.55,100,NA
2023-2024,June,32,WEST BENGAL,3216,24 PARGANAS SOUTH,0,259.681073353129,18,24,0,6950,255,192224,81837,6157,320830,217,11781,408.03642,620.55162,4312,5618,970984,1728504,0,1403452,2369996,199174,212.5152,38599,69,59.83,0.05,100.67,NA
2023-2024,June,32,WEST BENGAL,3221,KALIMPONG,0,0,0,0,0,0,42,4520,0,0,5655,0,29059,22.40592,22.40592,0,0,55260,88843,0,55953,89932,4520,0,0,23,0,0,0,NA
2023-2024,Oct,32,WEST BENGAL,3203,BIRBHUM,0,219.574858286095,23,0,0,520,150,26930,2999,849,408682,116,80889,586.47056,593.05561,128,168,544455,1134825,0,677366,1357024,27450,6.58505,1125,16,25.38,0.28,100,NA
2023-2024,Oct,32,WEST BENGAL,3209,MALDAH,0,208.041755319149,15,0,0,118,138,73494,3760,114,172269,171,55118,422.30192,430.12429,236,236,479327,811880,0,722602,1170162,73612,7.82237,2764,72,5.26,2.91,145.05,NA
2023-2024,Oct,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,0,417.788617886179,31,2,0,579,195,88414,7626,2580,322551,26,166010,817.57917,849.43973,241,401,691990,1458534,0,888457,1774238,88993,31.86056,3184,51,26.77,1.26,100,NA
2023-2024,Oct,32,WEST BENGAL,3218,DINAJPUR UTTAR,0,195.454545454545,1,0,0,183,83,84348,44,0,135660,0,14308,269.75271,269.83871,24,30,257818,513861,0,509536,951733,84531,0.086,24,85,0.47,0.03,100,NA
2023-2024,Oct,32,WEST BENGAL,3221,KALIMPONG,0,0,0,0,0,0,42,4520,0,0,5655,0,29059,49.74989,49.74989,0,0,55260,88843,0,55953,89777,4520,0,0,23,0,0,0,NA
2023-2024,Aug,32,WEST BENGAL,3206,HOOGHLY,0,3582,15,0,0,10,203,32921,15,0,551994,0,106338,524.1008,524.6381,1,1,730190,1374027,0,839459,1531576,32931,0.5373,15,11,26.62,2.6,100,NA
2023-2024,Aug,32,WEST BENGAL,3208,COOCHBEHAR,0,0,0,0,0,445,128,73798,0,0,574372,0,7372,292.03568,292.03568,0,0,562861,1086684,0,660495,1253876,74243,0,0,39,0.6,4.42,0,NA
2023-2024,Aug,32,WEST BENGAL,3211,PURBA MEDINIPUR,0,220.891911764706,27,0,0,417,214,81308,1224,43,152693,0,5104,441.16465,443.868367,45,54,558310,1250860,0,918120,1959819,81725,2.703717,512,63,5.36,0.03,100,NA
