fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,32,WEST BENGAL,3216,24 PARGANAS SOUTH,0,0,0,0,0,0,310,166625,0,0,255762,0,9543,995.29121,995.29121,0,0,767860,1378553,0,1403356,2360526,166625,0,0,63,47.47,0,0,NA
2024-2025,Nov,32,WEST BENGAL,3211,PURBA MEDINIPUR,0,0,0,0,0,7,223,80947,0,0,94249,0,3074,826.10706,826.10706,0,0,386183,871143,0,918193,1960145,80954,0,0,63,0,0,0,NA
2024-2025,Nov,32,WEST BENGAL,3218,DINAJPUR UTTAR,0,0,0,0,0,0,98,84348,0,0,93584,0,9199,273.36879,273.36879,0,0,185983,367629,0,504666,934224,84348,0,0,85,0,0,0,NA
2024-2025,Nov,32,WEST BENGAL,3216,24 PARGANAS SOUTH,0,0,0,0,0,0,310,191888,0,0,255814,0,9543,876.76469,876.76469,0,0,767918,1379372,0,1403510,2361927,191888,0,0,68,0,0,0,NA
2024-2025,Nov,32,WEST BENGAL,3218,DINAJPUR UTTAR,0,0,0,0,0,0,98,84348,0,0,93584,0,9199,273.26787,273.26787,0,0,185983,367629,0,504667,934226,84348,0,0,85,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3201,NADIA,0,0,0,0,0,0,185,23808,0,0,121048,0,13075,268.44379,268.44379,0,0,260685,553835,0,764465,1486177,23808,0,0,55,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3203,BIRBHUM,0,0,0,0,0,0,167,26930,0,0,336447,0,65410,248.02285,248.02285,0,0,444189,940897,0,677399,1357054,26930,0,0,16,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3211,PURBA MEDINIPUR,0,0,0,0,0,7,223,80947,0,0,94244,0,3074,338.3844,338.3844,0,0,386183,871105,0,918137,1959969,80954,0,0,63,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3214,PURULIA,0,0,0,0,0,0,170,24060,0,0,105729,0,124772,206.14113,206.14113,0,0,251062,584117,0,525044,1133011,24060,0,0,67,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3220,ALIPURDUAR,0,0,0,0,0,0,64,64330,0,0,146404,0,115843,0,0,0,0,272547,546679,0,326718,638811,64330,0,0,58,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3212,MURSHIDABAD,0,0,0,0,0,0,250,106885,0,0,64997,0,7656,325.68375,325.68375,0,0,327925,595627,0,1232371,2083751,106885,0,0,85,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,0,0,0,0,0,0,62,2608,0,0,78435,0,21982,98.14128,98.14128,0,0,69781,152666,0,140158,286647,2608,0,0,29,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3207,JALPAIGURI,0,0,0,0,0,0,80,31776,0,0,236075,0,81880,128.11554,128.11554,0,0,300581,600203,0,404317,775902,31776,0,0,16,0,0,0,NA
