fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,32,WEST BENGAL,3205,HOWRAH,0,0,0,0,0,0,157,18268,0,0,54660,0,799,165.74495,165.74495,0,0,161738,261315,0,405119,577100,18268,0,0,20,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3206,HOOGHLY,0,0,0,0,0,0,207,32921,0,0,518201,0,101729,409.13556,409.13556,0,0,669811,1271368,0,839628,1530995,32921,0,0,10,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3209,MALDAH,0,0,0,0,0,0,146,73561,0,0,116007,0,37378,241.83716,241.83716,0,0,334524,570373,0,722669,1170276,73561,0,0,72,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3205,HOWRAH,0,0,0,0,0,0,157,18268,0,0,54676,0,800,166.85182,166.85182,0,0,161738,261395,0,405695,577868,18268,0,0,20,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3215,24 PARGANAS (NORTH),0,0,0,0,0,0,199,85386,0,0,173397,0,29397,353.23019,353.23019,0,0,313170,581708,0,873390,1521072,85386,0,0,74,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3218,DINAJPUR UTTAR,0,0,0,0,0,0,98,84348,0,0,93585,0,9199,154.90788,154.90788,0,0,185988,367637,0,504639,934117,84348,0,0,85,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3220,ALIPURDUAR,0,0,0,0,0,0,64,64330,0,0,146406,0,115848,0,0,0,0,272547,546686,0,326720,638822,64330,0,0,58,100,0,0,NA
2024-2025,Nov,32,WEST BENGAL,3216,24 PARGANAS SOUTH,0,0,0,0,0,0,310,166625,0,0,255772,0,9543,876.76469,876.76469,0,0,767868,1378723,0,1403392,2360849,166625,0,0,63,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3203,BIRBHUM,0,0,0,0,0,0,167,26930,0,0,336447,0,65413,407.57325,407.57325,0,0,444187,940913,0,677333,1357028,26930,0,0,16,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3205,HOWRAH,0,0,0,0,0,0,157,18268,0,0,54678,0,800,206.5233,206.5233,0,0,161738,261407,0,406033,578246,18268,0,0,20,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3206,HOOGHLY,0,0,0,0,0,0,207,32921,0,0,518206,0,101729,511.90508,511.90508,0,0,669811,1271392,0,839706,1531112,32921,0,0,10,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3211,PURBA MEDINIPUR,0,0,0,0,0,7,223,80947,0,0,94244,0,3074,563.28182,563.28182,0,0,386183,871125,0,918143,1960033,80954,0,0,63,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3216,24 PARGANAS SOUTH,0,0,0,0,0,0,310,191888,0,0,255824,0,9543,604.33213,604.33213,0,0,767936,1379447,0,1403568,2362098,191888,0,0,68,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3206,HOOGHLY,0,0,0,0,0,0,207,32921,0,0,518206,0,101729,511.90508,511.90508,0,0,669811,1271392,0,839714,1531120,32921,0,0,10,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3207,JALPAIGURI,0,0,0,0,0,0,80,31776,0,0,236076,0,81885,169.95036,169.95036,0,0,300581,600210,0,404317,775914,31776,0,0,16,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3208,COOCHBEHAR,0,0,0,0,0,0,128,73782,0,0,466229,0,5915,295.11291,295.11291,0,0,468295,909984,0,660711,1253878,73782,0,0,39,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3212,MURSHIDABAD,0,0,0,0,0,0,250,106885,0,0,64995,0,7656,425.4237,425.4237,0,0,327921,595619,0,1232321,2083734,106885,0,0,85,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3222,JHARGRAM,0,0,0,0,0,0,79,23787,0,0,64092,0,91430,0,0,0,0,143161,309802,0,231016,470521,23787,0,0,44,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3212,MURSHIDABAD,0,0,0,0,0,0,250,106885,0,0,64991,0,7653,425.4237,425.4237,0,0,327900,595572,0,1232030,2083311,106885,0,0,85,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3208,COOCHBEHAR,0,0,0,0,0,0,128,73782,0,0,466272,0,5920,225.8445,225.8445,0,0,468295,910067,0,660661,1253923,73782,0,0,39,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3213,BANKURA,0,0,0,0,0,0,190,29967,0,0,429056,0,122511,281.31667,281.31667,0,0,428799,1038559,0,686131,1538468,29967,0,0,56,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3216,24 PARGANAS SOUTH,0,0,0,0,0,0,310,191888,0,0,255824,0,9543,367.1743,367.1743,0,0,767944,1379438,0,1403524,2361987,191888,0,0,68,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3205,HOWRAH,0,0,0,0,0,0,157,18268,0,0,54677,0,800,166.85182,166.85182,0,0,161738,261397,0,405719,577897,18268,0,0,20,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3209,MALDAH,0,0,0,0,0,0,146,73561,0,0,116007,0,37378,241.83716,241.83716,0,0,334524,570375,0,722732,1170385,73561,0,0,72,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3214,PURULIA,0,0,0,0,0,0,170,24060,0,0,105730,0,124775,274.41808,274.41808,0,0,251062,584126,0,525064,1133080,24060,0,0,67,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3203,BIRBHUM,0,0,0,0,0,0,167,26930,0,0,336446,0,65410,327.79805,327.79805,0,0,444187,940908,0,677313,1356996,26930,0,0,16,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3206,HOOGHLY,0,0,0,0,0,0,207,32921,0,0,518206,0,101729,409.13556,409.13556,0,0,669811,1271379,0,839685,1531071,32921,0,0,10,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3212,MURSHIDABAD,0,0,0,0,0,0,250,106885,0,0,64990,0,7652,426.3237,426.3237,0,0,327900,595572,0,1232020,2083302,106885,0,0,85,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3207,JALPAIGURI,0,0,0,0,0,0,80,31776,0,0,236076,0,81886,213.06389,213.06389,0,0,300581,600216,0,404317,775925,31776,0,0,16,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3209,MALDAH,0,0,0,0,0,0,146,73561,0,0,116007,0,37378,241.83716,241.83716,0,0,334524,570376,0,722732,1170386,73561,0,0,72,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,0,0,0,0,0,0,211,87860,0,0,276183,0,138492,554.49621,554.49621,0,0,589515,1253780,0,888478,1773832,87860,0,0,50,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3211,PURBA MEDINIPUR,0,0,0,0,0,7,223,80947,0,0,94244,0,3074,563.28182,563.28182,0,0,386183,871125,0,918143,1960030,80954,0,0,63,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3222,JHARGRAM,0,0,0,0,0,0,79,23787,0,0,64093,0,91431,0,0,0,0,143161,309806,0,231017,470529,23787,0,0,44,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3206,HOOGHLY,0,0,0,0,0,0,207,32921,0,0,518205,0,101729,409.13556,409.13556,0,0,669811,1271375,0,839675,1531052,32921,0,0,10,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3208,COOCHBEHAR,0,0,0,0,0,0,128,73782,0,0,466236,0,5915,295.11291,295.11291,0,0,468295,910003,0,660750,1253967,73782,0,0,39,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3213,BANKURA,0,0,0,0,0,0,190,29967,0,0,429049,0,122514,373.13838,373.13838,0,0,428798,1038567,0,686127,1538488,29967,0,0,56,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3218,DINAJPUR UTTAR,0,0,0,0,0,0,98,84348,0,0,93593,0,9199,154.90788,154.90788,0,0,186006,367715,0,504680,934268,84348,0,0,85,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3222,JHARGRAM,0,0,0,0,0,0,79,23787,0,0,64092,0,91431,0,0,0,0,143161,309805,0,231017,470526,23787,0,0,44,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3225,PURBA BARDHAMAN,0,0,0,0,0,1,215,30168,0,0,504723,0,98176,0,0,0,0,669979,1377950,0,914298,1821298,30169,0,0,23,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3203,BIRBHUM,0,0,0,0,0,0,167,26930,0,0,336457,0,65410,327.79805,327.79805,0,0,444189,940926,0,677449,1357152,26930,0,0,16,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3212,MURSHIDABAD,0,0,0,0,0,0,250,106885,0,0,64990,0,7652,425.4237,425.4237,0,0,327900,595571,0,1232016,2083289,106885,0,0,85,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3214,PURULIA,0,0,0,0,0,0,170,24060,0,0,105729,0,124774,274.41808,274.41808,0,0,251062,584122,0,525058,1133056,24060,0,0,67,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3225,PURBA BARDHAMAN,0,0,0,0,0,1,215,30168,0,0,504721,0,98175,0,0,0,0,669977,1377945,0,914292,1821290,30169,0,0,23,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3213,BANKURA,0,0,0,0,0,0,190,29967,0,0,429037,0,122506,464.96009,464.96009,0,0,428794,1038530,0,686077,1538390,29967,0,0,56,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3214,PURULIA,0,0,0,0,0,0,170,24060,0,0,105730,0,124776,342.69811,342.69811,0,0,251062,584128,0,525064,1133085,24060,0,0,67,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3216,24 PARGANAS SOUTH,0,0,0,0,0,0,310,191888,0,0,255824,0,9543,604.33213,604.33213,0,0,767936,1379447,0,1403566,2362092,191888,0,0,68,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3225,PURBA BARDHAMAN,0,0,0,0,0,1,215,30168,0,0,504722,0,98175,0,0,0,0,669977,1377949,0,914292,1821295,30169,0,0,23,0,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3212,MURSHIDABAD,0,0,0,0,0,0,250,88974,0,0,64990,0,7652,848.28711,848.28711,0,0,327900,595583,0,1232074,2083424,88974,0,0,82,0,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),0,0,0,0,0,0,70,9799,0,0,14319,0,63311,0,0,0,0,116126,192316,0,127895,208802,9799,0,0,14,0,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3207,JALPAIGURI,0,0,0,0,0,0,80,29988,0,0,236093,0,81889,351.7363,351.7363,0,0,300581,600245,0,404318,775975,29988,0,0,11,0,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3201,NADIA,0,0,0,0,0,0,185,22419,0,0,121059,0,13075,712.97747,712.97747,0,0,260685,553857,0,764479,1486266,22419,0,0,52,5.02,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3203,BIRBHUM,0,0,0,0,0,0,167,24978,0,0,336480,0,65420,668.02174,668.02174,0,0,444187,941010,0,677431,1357257,24978,0,0,9,0,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3207,JALPAIGURI,0,0,0,0,0,0,80,29988,0,0,236093,0,81889,351.7363,351.7363,0,0,300581,600245,0,404317,775971,29988,0,0,11,0,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3211,PURBA MEDINIPUR,0,0,0,0,0,31,223,76340,0,0,94249,0,3074,938.58968,938.58968,0,0,386183,871147,0,918234,1960244,76371,0,0,61,0,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3212,MURSHIDABAD,0,0,0,0,0,0,250,88974,0,0,64990,0,7652,848.28711,848.28711,0,0,327900,595583,0,1232074,2083423,88974,0,0,82,0,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,0,0,0,0,0,0,22,2282,0,0,43490,0,28995,89.66323,89.66323,0,0,50500,99826,0,116289,216207,2282,0,0,53,0,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3215,24 PARGANAS (NORTH),0,0,0,0,0,0,199,33730,0,0,173404,0,29397,632.649,632.649,0,0,313170,581722,0,873397,1521130,33730,0,0,35,0,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3216,24 PARGANAS SOUTH,0,0,0,0,0,0,310,166625,0,0,255771,0,9543,876.76469,876.76469,0,0,767868,1378722,0,1403391,2360850,166625,0,0,63,0,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3217,DINAJPUR DAKSHIN,0,0,0,0,0,0,64,13349,0,0,71275,0,42797,233.48626,233.48626,0,0,130822,262902,0,277900,521654,13349,0,0,35,0,0,0,NA
2024-2025,Nov,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,0,0,0,0,0,0,22,2282,0,0,43516,0,29031,89.66323,89.66323,0,0,50505,99898,0,116316,216375,2282,0,0,53,0,0,0,NA
2024-2025,Nov,32,WEST BENGAL,3212,MURSHIDABAD,0,0,0,0,0,0,250,88974,0,0,64990,0,7652,749.08925,749.08925,0,0,327900,595583,0,1232073,2083419,88974,0,0,82,0,0,0,NA
2024-2025,Nov,32,WEST BENGAL,3225,PURBA BARDHAMAN,0,0,0,0,0,3,215,24891,0,0,504699,0,98180,0,0,0,0,669971,1377917,0,914302,1821285,24894,0,0,7,9.13,0,0,NA
2024-2025,Dec,32,WEST BENGAL,3216,24 PARGANAS SOUTH,0,0,0,0,0,0,310,166625,0,0,255772,0,9543,876.76469,876.76469,0,0,767868,1378723,0,1403391,2360847,166625,0,0,63,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3203,BIRBHUM,0,0,0,0,0,0,167,26930,0,0,336448,0,65410,248.02285,248.02285,0,0,444189,940901,0,677403,1357063,26930,0,0,16,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,0,0,0,0,0,0,211,87860,0,0,276201,0,138531,333.56709,333.56709,0,0,589516,1253864,0,888482,1773944,87860,0,0,50,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3213,BANKURA,0,0,0,0,0,0,190,29967,0,0,429047,0,122513,281.31667,281.31667,0,0,428798,1038555,0,686124,1538459,29967,0,0,56,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),0,0,0,0,0,0,70,10272,0,0,14319,0,63312,0,0,0,0,116127,192313,0,127896,208799,10272,0,0,18,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3220,ALIPURDUAR,0,0,0,0,0,0,64,64330,0,0,146404,0,115843,0,0,0,0,272547,546679,0,326718,638812,64330,0,0,58,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3205,HOWRAH,0,0,0,0,0,0,157,18268,0,0,54674,0,800,166.85182,166.85182,0,0,161738,261383,0,405566,577707,18268,0,0,20,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3205,HOWRAH,0,0,0,0,0,0,157,18268,0,0,54674,0,800,166.85182,166.85182,0,0,161738,261385,0,405615,577761,18268,0,0,20,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3206,HOOGHLY,0,0,0,0,0,0,207,32921,0,0,518207,0,101729,512.87183,512.87183,0,0,669811,1271399,0,839720,1531140,32921,0,0,10,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3213,BANKURA,0,0,0,0,0,0,190,29967,0,0,429028,0,122505,464.96009,464.96009,0,0,428791,1038503,0,686042,1538297,29967,0,0,56,0,0,0,NA
2024-2025,Sep,32,WEST BENGAL,3218,DINAJPUR UTTAR,0,0,0,0,0,0,98,84348,0,0,93586,0,9199,192.01485,192.01485,0,0,185988,367640,0,504661,934186,84348,0,0,85,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3212,MURSHIDABAD,0,0,0,0,0,0,250,106885,0,0,64991,0,7653,425.4237,425.4237,0,0,327900,595572,0,1232029,2083309,106885,0,0,85,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3215,24 PARGANAS (NORTH),0,0,0,0,0,0,199,85386,0,0,173397,0,29397,353.23019,353.23019,0,0,313170,581706,0,873386,1521053,85386,0,0,74,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3218,DINAJPUR UTTAR,0,0,0,0,0,0,98,84348,0,0,93592,0,9199,154.90788,154.90788,0,0,186006,367714,0,504679,934261,84348,0,0,85,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3206,HOOGHLY,0,0,0,0,0,0,207,32921,0,0,518204,0,101729,409.13556,409.13556,0,0,669811,1271372,0,839660,1531031,32921,0,0,10,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3213,BANKURA,0,0,0,0,0,0,190,29967,0,0,429048,0,122513,373.13838,373.13838,0,0,428798,1038565,0,686126,1538483,29967,0,0,56,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,0,0,0,0,0,0,62,2608,0,0,78436,0,21982,130.28235,130.28235,0,0,69781,152667,0,140166,286661,2608,0,0,29,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,0,0,0,0,0,0,22,2336,0,0,43511,0,29024,49.29895,49.29895,0,0,50505,99882,0,116299,216314,2336,0,0,54,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3212,MURSHIDABAD,0,0,0,0,0,0,250,106885,0,0,64991,0,7653,425.4237,425.4237,0,0,327902,595573,0,1232042,2083325,106885,0,0,85,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3216,24 PARGANAS SOUTH,0,0,0,0,0,0,310,191888,0,0,255824,0,9543,485.83181,485.83181,0,0,767937,1379439,0,1403545,2362039,191888,0,0,68,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3203,BIRBHUM,0,0,0,0,0,0,167,26930,0,0,336452,0,65410,327.79805,327.79805,0,0,444189,940906,0,677414,1357084,26930,0,0,16,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3205,HOWRAH,0,0,0,0,0,0,157,18268,0,0,54659,0,799,165.74495,165.74495,0,0,161738,261293,0,404901,576818,18268,0,0,20,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3201,NADIA,0,0,0,0,0,0,185,23808,0,0,121051,0,13075,352.50267,352.50267,0,0,260685,553840,0,764468,1486205,23808,0,0,55,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3207,JALPAIGURI,0,0,0,0,0,0,80,31776,0,0,236076,0,81885,169.95036,169.95036,0,0,300581,600212,0,404317,775918,31776,0,0,16,0,0,0,NA
2024-2025,Aug,32,WEST BENGAL,3208,COOCHBEHAR,0,0,0,0,0,0,128,73782,0,0,466229,0,5915,295.11291,295.11291,0,0,468295,909986,0,660712,1253883,73782,0,0,39,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3206,HOOGHLY,0,0,0,0,0,0,207,32921,0,0,518155,0,101720,307.8739,307.8739,0,0,669811,1271215,0,839494,1530627,32921,0,0,10,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3208,COOCHBEHAR,0,0,0,0,0,0,128,73782,0,0,466263,0,5918,223.8445,223.8445,0,0,468290,910046,0,660616,1253824,73782,0,0,39,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3213,BANKURA,0,0,0,0,0,0,190,29967,0,0,429067,0,122518,281.31667,281.31667,0,0,428805,1038604,0,686189,1538581,29967,0,0,56,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3214,PURULIA,0,0,0,0,0,0,170,24060,0,0,105727,0,124772,206.14113,206.14113,0,0,251062,584101,0,524969,1132827,24060,0,0,67,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3218,DINAJPUR UTTAR,0,0,0,0,0,0,98,84348,0,0,95214,0,9388,117.80091,117.80091,0,0,187051,374786,0,509631,951934,84348,0,0,85,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3222,JHARGRAM,0,0,0,0,0,0,79,23787,0,0,64090,0,91431,0,0,0,0,143162,309794,0,231017,470505,23787,0,0,44,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3208,COOCHBEHAR,0,0,0,0,0,0,128,73782,0,0,466263,0,5918,225.8445,225.8445,0,0,468290,910049,0,660618,1253830,73782,0,0,39,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,0,0,0,0,0,0,211,87860,0,0,276199,0,138531,333.56709,333.56709,0,0,589516,1253851,0,888476,1773917,87860,0,0,50,0,0,0,NA
2024-2025,July,32,WEST BENGAL,3213,BANKURA,0,0,0,0,0,0,190,29967,0,0,429067,0,122518,281.31667,281.31667,0,0,428805,1038604,0,686189,1538585,29967,0,0,56,0,0,0,NA
2024-2025,April,32,WEST BENGAL,3201,NADIA,0,0,0,0,0,0,185,23808,0,0,121042,0,13075,11.34538,11.34538,0,0,260685,553790,0,764452,1486033,23808,0,0,55,0,0,0,NA
2024-2025,April,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,0,0,0,0,0,0,62,2608,0,0,78434,0,21981,0.84,0.84,0,0,69781,152662,0,140106,286585,2608,0,0,29,0,0,0,NA
2024-2025,April,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,0,0,0,0,0,0,22,2336,0,0,43505,0,29024,0.12,0.12,0,0,50505,99875,0,116298,216293,2336,0,0,54,0,0,0,NA
2024-2025,April,32,WEST BENGAL,3206,HOOGHLY,0,0,0,0,0,0,207,32921,0,0,518147,0,101719,3.12,3.12,0,0,669811,1271187,0,839472,1530565,32921,0,0,10,0,0,0,NA
2024-2025,April,32,WEST BENGAL,3208,COOCHBEHAR,0,0,0,0,0,0,128,73782,0,0,466272,0,5918,8.01,8.01,0,0,468290,910043,0,660592,1253779,73782,0,0,39,0,0,0,NA
2024-2025,April,32,WEST BENGAL,3211,PURBA MEDINIPUR,0,0,0,0,0,0,223,80949,0,0,94238,0,3074,1.815,1.815,0,0,386183,871071,0,918126,1959817,80949,0,0,63,0,0,0,NA
2024-2025,April,32,WEST BENGAL,3212,MURSHIDABAD,0,0,0,0,0,0,250,106885,0,0,64995,0,7656,19.58,19.58,0,0,328032,595647,0,1232671,2083654,106885,0,0,85,0,0,0,NA
2024-2025,April,32,WEST BENGAL,3213,BANKURA,0,0,0,0,0,0,190,29966,0,0,429103,0,122536,4.5862,4.5862,0,0,428826,1038672,0,686327,1538828,29966,0,0,56,0,0,0,NA
2024-2025,April,32,WEST BENGAL,3214,PURULIA,0,0,0,0,0,0,170,24060,0,0,105725,0,124769,0.54,0.54,0,0,251062,584078,0,524954,1132736,24060,0,0,67,0,0,0,NA
2024-2025,April,32,WEST BENGAL,3217,DINAJPUR DAKSHIN,0,0,0,0,0,0,64,13890,0,0,71272,0,42797,2.28,2.28,0,0,130822,262897,0,277898,521641,13890,0,0,37,0,0,0,NA
2024-2025,April,32,WEST BENGAL,3218,DINAJPUR UTTAR,0,0,0,0,0,0,98,84348,0,0,95214,0,9388,6.48,6.48,0,0,187051,374783,0,509610,951877,84348,0,0,85,0,0,0,NA
