fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,April,32,WEST BENGAL,3211,PURBA MEDINIPUR,425915,140.898529433526,17,391,0,5755,18,204731,702804,57666,193590,1866,6496,0,990.2405008,39575,51294,652565,1465403,0,931377,2374368,210486,990.2405008,318550,79,41.43,36.54,104.36,NA
2021-2022,April,32,WEST BENGAL,3212,MURSHIDABAD,250904,218.457245879121,20,1,0,3312,179,175395,69888,8125,166857,1095,21519,98.53794,251.21334,3474,4109,675775,1236595,0,1377365,2860058,178707,152.6754,19475,89,30.06,17.14,98.68,NA
2021-2022,April,32,WEST BENGAL,3213,BANKURA,348941,67.6066807740015,17,184,0,3309,22,66736,403100,134119,622276,42503,184859,86.61953,359.1420602,23355,30746,541017,1469195,0,676718,1784641,70045,272.5225302,212759,78,40.88,44.86,99.95,NA
2021-2022,April,32,WEST BENGAL,3216,24 PARGANAS SOUTH,770812,254.531726868027,19,107,0,7808,178,328597,354920,69161,342495,9834,13025,118.99652,1022.380525,17953,24954,1015082,1815681,0,1551881,3008789,336405,903.384005,143688,79,31.11,35.4,100.03,NA
2021-2022,April,32,WEST BENGAL,3220,ALIPURDUAR,392093,1380.08065386447,11,4,0.61812,106,28,45272,12602,3352,160533,2616,120189,35.03607,209.571954,1069,1123,293589,584909,0,356510,863746,45378,173.917764,5834,50,11.82,18.1,104.39,NA
2021-2022,March,32,WEST BENGAL,3203,BIRBHUM,15031437,196.471915137315,35,6846,10994.489623068,93929,0,80866,16685159,5130181,435611,976762,85901,972.90862,44749.049674074,467727,707017,582001,1206050,10592,801030,1814782,174795,32781.651431006,8363030,73,63.8,60.75,100.06,NA
2021-2022,March,32,WEST BENGAL,3205,HOWRAH,4960589,211.050217101675,52,602,8868.134984751,17280,0,31761,8405785,1488578,77768,27269,1035,500.93771,27109.500186351,161115,197470,246654,387231,20096,470402,714882,49041,17740.4274916,3738897,57,45.95,62.02,100.29,NA
2021-2022,March,32,WEST BENGAL,3207,JALPAIGURI,11219281,211.39205682012,49,1213,7228.37648919,23084,0,32175,14904298,5788717,290966,1868227,98996,489.98251,39224.8610959899,302961,439743,368086,724489,10713,457081,1090947,55259,31506.5020967999,7930128,19,59.3,76.91,100.07,NA
2021-2022,March,32,WEST BENGAL,3208,COOCHBEHAR,14033710,211.881079351468,51,3852,39279.0906329134,94753,0,76797,24405784,11921175,603537,140462,7943,846.49958,91836.8287763014,476375,698719,586873,1131215,22218,703575,1534160,171550,51711.238563388,14957280,49,52.73,59.41,99.96,NA
2021-2022,March,32,WEST BENGAL,3209,MALDAH,11075197,205.179714218491,44,19049,30747.7265083768,31958,0,101410,16431364,2346305,193903,787627,61572,675.11335,65136.6655557768,371301,491258,537717,910977,8954,964725,1877435,133368,33713.8256974,8720610,79,52.97,46.5,101.64,NA
2021-2022,March,32,WEST BENGAL,3221,KALIMPONG,2818242,213.805234600193,89,400,6855.077643472,1515,0,4015,4991556,326024,5850,1626308,30033,13.34678,17540.632439472,55924,75985,56202,91729,25983,62784,142078,5530,10672.208016,2600672,24,50.57,67.2,100.17,NA
2021-2022,March,32,WEST BENGAL,3225,PURBA BARDHAMAN,20546124,194.688808924069,31,5983,23585.869729619,40982,0,81428,21530268,7233090,615411,1433857,123627,1593.85633,67096.748386979,676116,921103,814633,1687538,7812,989370,2260379,122410,41917.02232736,8795573,66,42.9,61.99,100.24,NA
2021-2022,Feb,32,WEST BENGAL,3205,HOWRAH,4911829,204.057019257316,49,581,8868.134984751,16745,0,30790,7928675,1409374,77765,25509,1035,441.67405,25488.826906351,159919,194966,246620,387186,16274,465789,709962,47535,16179.0178716,3520115,58,48.33,65.44,100.29,NA
2021-2022,Feb,32,WEST BENGAL,3213,BANKURA,17858829,176.372385526017,49,4930,8408.331367279,36241,0,57814,21462274,8611277,624523,2536761,185542,917.94864,47179.8046492091,430685,808395,547178,1479857,28872,728210,1859244,94055,37853.5246419301,10337640,78,63.3,83.13,99.99,NA
2021-2022,Feb,32,WEST BENGAL,3218,DINAJPUR UTTAR,8580596,192.131683690077,53,1526,8440.10563698995,58283,0,99082,10472343,2415478,168230,269695,19441,372.81804,28933.6126046899,197552,309852,309172,625161,15468,607995,1343313,157365,20120.6889276999,5799408,85,67.94,71.11,100.15,NA
2021-2022,Aug,32,WEST BENGAL,3205,HOWRAH,2343611,190.757978787253,25,354,8698.17291420201,8938,0,34195,2922488,527029,77602,10683,1034,298.2275,14571.279453302,113518,131212,245064,385261,631,416209,656584,43133,5574.8790391,1263842,59,44.95,60.11,100.35,NA
