fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2018-2019,Feb,32,WEST BENGAL,3225,PURBA BARDHAMAN,24862710,177.46545577155,82,7175,18616.2702424124,86452,0,82892,34074900,15374152,711178,2924538,149677,1570.28259,80657.7294211123,411353,701970,768177,1889648,165619,906753,2168127,169344,60471.1765886999,14890673,64,40.77,67.01,109.86,NA
2018-2019,Jan,32,WEST BENGAL,3208,COOCHBEHAR,13323745,169.817107260311,71,2385,12422.8252457691,69062,0,90284,18738385,10585803,677789,128899,9818,687.19399,44931.0025900691,260552,418975,530585,1207921,47619,633668,1415046,159346,31820.9833543,11359948,74,56.97,68.95,115.64,NA
2018-2019,Jan,32,WEST BENGAL,3209,MALDAH,7463381,139.297633826764,76,15191,13627.540333696,29878,0,76017,11197181,2734754,223298,872306,72135,653.87491,29878.823431996,147283,243147,381795,899422,35723,684167,1475646,105895,15597.4081883,5233065,71,60.58,71.9,124.8,NA
2018-2019,Jan,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,14310641,172.130656377701,77,1817,8221.30909370198,63505,0,76631,19571323,5390289,366064,2333715,214828,1026.93705,42936.492885402,253821,470156,553031,1469421,84355,740279,1881341,140136,33688.2467417,8798317,64,66.95,67.86,132.08,NA
2018-2019,Jan,32,WEST BENGAL,3213,BANKURA,13282427,151.035346091082,74,2668,4924.0251924608,38641,0,37586,15254886,7244394,570592,2032858,170014,939.73872,28904.0337783609,205961,426663,426927,1239940,59541,605118,1667299,76227,23040.2698659001,7363526,79,78.71,76.77,106.52,NA
2018-2019,Jan,32,WEST BENGAL,3215,24 PARGANAS (NORTH),10121129,153.291185758776,71,1036,7630.6624677291,63202,1,87189,15022187,4923898,328524,842256,54476,863.7174,31522.0684469299,209759,294492,434106,995456,64128,722649,1591926,150391,23027.6885792008,8980088,55,57.38,50.7,129.83,NA
2018-2019,Jan,32,WEST BENGAL,3216,24 PARGANAS SOUTH,25944050,136.145859338438,89,2850,14770.310367662,66725,0,229373,29991283,6674326,346154,318546,14700,1296.56085,56898.761184635,336677,573930,706633,1601577,148079,1060321,2290828,296098,40831.889966973,12752927,75,55.74,55.43,211.75,NA
2018-2019,Jan,32,WEST BENGAL,3218,DINAJPUR UTTAR,4804348,163.074171358721,57,1414,4983.24812900699,34537,0,48359,6931576,1858809,175628,250489,23879,388.54063,16675.398883107,120111,194647,247742,608642,10331,473318,1103988,82896,11303.6101241,3428155,74,72.76,67.25,144.87,NA
2018-2019,Jan,32,WEST BENGAL,3221,KALIMPONG,3198996,187.770013359085,86,400,2141.598711001,1184,0,2144,3650699,237582,7930,1222367,39674,0,8996.516711001,41963,63480,45088,117353,16379,52180,131813,3328,6854.918,1893029,8,15.05,30.68,142.28,NA
2018-2019,Aug,32,WEST BENGAL,3207,JALPAIGURI,4455362,159.001894038254,32,779,4482.0032328893,16341,0,20875,6249293,2459103,342238,948170,130476,201.51192,14620.0093868893,194710,257877,347889,864233,1057,428116,1034670,37216,9936.494234,2990889,44,57.58,72.23,117.46,NA
2018-2019,Aug,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,8049735,167.112183208393,33,870,7361.69334067798,47269,0,60707,6284068,1818291,366990,682643,215319,487.99122,18351.127789778,185286,276351,552662,1471750,2961,737053,1878911,107976,10501.4432291,2788539,59,61.23,58.44,113.77,NA
2018-2019,Aug,32,WEST BENGAL,3214,PURULIA,3161409,152.682105998287,34,2003,1015.405397435,33627,0,56787,3349073,733673,221418,801218,240189,330.56246,6459.403045255,98292,154893,304649,989557,872,511363,1541307,90414,5113.43518782,1490356,70,80.32,56.47,110.08,NA
2018-2019,Aug,32,WEST BENGAL,3216,24 PARGANAS SOUTH,8690812,130.144313756919,60,2055,13990.260413328,31436,0,228214,16805173,3755732,345455,180497,14662,627.55477,36488.792259841,277015,419947,704095,1596152,19454,1039517,2254907,259650,21870.977076513,7198149,74,60.08,49.47,146.39,NA
2018-2019,Aug,32,WEST BENGAL,3220,ALIPURDUAR,4357382,182.112921160971,25,293,4716.90861850317,13424,0,35717,3445565,964741,182278,741213,153586,184.26073,11175.9884205032,134573,169644,258074,678120,449,307628,787703,49141,6274.819072,1775812,62,59.39,60.47,115.53,NA
2018-2019,Aug,32,WEST BENGAL,3221,KALIMPONG,1137758,153.758018531214,34,150,2141.598711001,921,0,1317,707455,39445,7920,233565,39661,0,3229.367501001,20256,28496,45010,117238,64,51888,131365,2238,1087.76879,370531,5,15.13,24.4,122.2,NA
2018-2019,Dec,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,2155755,153.082085770917,59,765,729.836564108,5577,0,7320,3139619,1764263,126291,447264,31292,290.59842,5826.629234568,52327,85029,91604,238216,6159,134091,331308,12897,4806.19425046,1590851,62,40.81,68.17,112.09,NA
2018-2019,Dec,32,WEST BENGAL,3209,MALDAH,6290005,131.769056555044,68,14502,13627.540333696,27295,0,75530,9803847,2389945,223304,756086,72135,585.61697,27131.594001696,144108,232215,381662,899167,24606,674900,1461783,102825,12918.436698,4595072,70,62.38,71.5,123.86,NA
2018-2019,Dec,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,12521810,166.908553904798,70,1664,8221.30909370198,58698,0,78209,17275633,4811052,366638,2058663,214921,916.12634,37971.944651902,245652,445030,553052,1471114,58675,739183,1881494,136907,28834.5092182,7771712,64,66.26,66.86,131.53,NA
2018-2019,Dec,32,WEST BENGAL,3215,24 PARGANAS (NORTH),8292618,151.152027896125,63,1007,7630.6624677291,54131,1,93266,13226141,4354476,328530,747705,54478,775.66097,28397.9037716299,209505,287724,434105,995463,42450,722205,1591115,147397,19991.5803339008,7963951,55,58.65,50.46,132.7,NA
2018-2019,Dec,32,WEST BENGAL,3218,DINAJPUR UTTAR,3956522,144.765061076734,50,1278,4983.24812900699,25037,0,55839,5575118,1525757,175668,212348,23902,349.52905,13403.600156807,109580,172550,247507,608625,5452,471530,1100985,80876,8070.8229778,2773534,75,70.42,62.24,149.55,NA
2018-2019,May,32,WEST BENGAL,3207,JALPAIGURI,2295594,87.2601787217861,15,126,3307.1825682623,5618,0,25519,662706,245814,343795,124656,134313,79.05951,3964.5205182623,42470,49922,346276,873829,5,425677,1043428,31137,578.27844,307557,47,47.14,26.51,111.06,NA
2018-2019,May,32,WEST BENGAL,3220,ALIPURDUAR,2245111,103.530977795934,15,66,3828.87158360817,3413,1,37273,545891,166797,182220,102296,153529,68.26595,4462.30382360817,35008,41015,257718,677795,0,306627,786246,40686,565.16629,279181,59,57.57,57.28,169.12,NA
2018-2019,May,32,WEST BENGAL,3222,JHARGRAM,437153,161.128460664019,20,48,2416.02333305662,1855,1,36159,196169,39282,110508,64554,158412,81.72598,2813.83340305662,9647,12767,179798,496448,3,239505,636553,38014,316.08409,80392,60,31.21,21.83,131.71,NA
2018-2019,May,32,WEST BENGAL,3225,PURBA BARDHAMAN,4373891,120.984689986348,20,3849,14485.3670101654,16725,0,115629,4783999,2281043,714348,478027,150343,263.60173,20536.8750992654,230005,309746,767948,1897233,196,904549,2173051,132354,5787.9063591,2102197,64,65.07,50.08,105.97,NA
2018-2019,Dec,32,WEST BENGAL,3213,BANKURA,11422887,147.124311549678,68,2609,4924.0251924608,34518,0,40555,13913582,6669463,570665,1836812,170051,843.1937,26237.4806218607,203965,417463,426935,1240109,43513,604749,1666836,75073,20470.2617293999,6743160,79,79.55,76.55,106.8,NA
2018-2019,Dec,32,WEST BENGAL,3216,24 PARGANAS SOUTH,21014680,128.46502558722,87,2797,14770.310367662,50834,0,239569,28813888,6426658,346109,307078,14700,1162.93756,52949.016519535,330756,558522,706271,1600912,128077,1051619,2277782,290403,37015.768591873,12253500,75,56.93,56.05,208.33,NA
2018-2019,Jan,32,WEST BENGAL,3207,JALPAIGURI,12526996,173.601732130542,70,1090,5264.6162978263,21270,0,26509,16353294,6489346,342476,2352331,130276,417.75956,34071.9775022263,232757,364018,348614,864740,31585,433165,1042882,47779,28389.6016444,7895340,43,57.08,77.76,118.79,NA
2018-2019,Jan,32,WEST BENGAL,3214,PURULIA,7327547,146.981734345047,62,2956,1150.105702387,50456,0,52290,8053921,1791005,221103,1968910,239659,733.90677,13721.805240967,128063,233139,304562,987089,16550,512039,1537328,102746,11837.79276858,3771770,72,80.24,58.24,107.13,NA
2018-2019,Jan,32,WEST BENGAL,3225,PURBA BARDHAMAN,23868202,173.033633249967,81,7154,18006.6931303184,80640,0,86963,33580665,15174073,711475,2878674,149707,1411.73278,77524.2706293183,410747,699288,768190,1890414,154602,906457,2168436,167603,58105.844719,14672065,64,41.77,68.16,109.91,NA
2018-2019,Feb,32,WEST BENGAL,3205,HOWRAH,5322972,186.189608740552,78,524,7050.68963393241,39212,0,27583,7718689,1743777,82789,30832,1164,516.19906,21938.2855429324,97965,130870,178831,333608,34905,261494,465385,66795,14371.396849,3556007,61,51.21,51.94,114.81,NA
