fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2020-2021,Dec,32,WEST BENGAL,3206,HOOGHLY,34471672,184.580716289401,53,5017,13142.870845123,26525,0,48981,34562780,14140854,624409,2636879,125017,1051.63842,77990.7361586528,643449,940171,701267,1505463,61054,862976,1769332,75506,63796.2268935299,13744847,44,42.61,79.06,103.34,NA
2020-2021,Dec,32,WEST BENGAL,3211,PURBA MEDINIPUR,15683172,193.446512492966,46,3846,13959.675845452,138067,0,142860,17459225,1989912,248572,75840,8650,1195.99177,48929.929486252,377774,565636,646844,1734970,18686,887073,2284594,280927,33774.2618708,7908280,83,66.53,41.62,102.19,NA
2020-2021,Dec,32,WEST BENGAL,3212,MURSHIDABAD,16573394,183.780937801143,41,1088,10303.531854604,140436,0,180010,16165506,2021611,239575,293179,32156,943.56709,40956.217471704,393522,509016,747694,1686705,7875,1356780,2807999,320446,29709.1185271,5174039,93,77.43,49.65,100.59,NA
2020-2021,Dec,32,WEST BENGAL,3222,JHARGRAM,5771869,202.348233368526,41,645,2179.904611639,22442,0,28895,5746439,1195075,114272,1887434,165201,389.83199,14197.554399739,138476,203334,193853,519807,6385,254785,651760,51337,11627.8177981,2265738,78,59.68,69.02,100.56,NA
2020-2021,Feb,32,WEST BENGAL,3203,BIRBHUM,19374453,193.285266457139,41,7472,6353.486478141,121517,1,141738,20383980,6985490,522812,1329539,110501,937.12537,46689.841905711,493976,752622,609869,1449435,17917,783150,1759648,263255,39399.23005757,8694983,81,59.85,51.81,101.39,NA
2020-2021,Feb,32,WEST BENGAL,3222,JHARGRAM,6251019,202.9593917693,44,701,2330.855017963,22857,0,29577,6461808,1330453,114228,2083823,165201,472.29589,15917.997122063,144426,215606,193935,519811,9167,256206,653948,52434,13114.8462141,2556529,78,59.51,68.89,101.17,NA
2020-2021,June,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,369027,139.878641268385,25,675,282.0335061,3325,0,8673,1388317,802361,127296,244424,32950,91.49085,2315.483312198,54570,74041,94762,242456,89,139568,338931,11998,1941.958956098,691481,80,81.95,72.64,100,NA
2020-2021,June,32,WEST BENGAL,3203,BIRBHUM,1202244,156.472535440186,24,3792,3209.751778277,39067,0,153217,7525793,2806331,522636,571942,110435,248.60488,15234.155777357,310341,415190,604813,1447552,426,752878,1723361,192284,11775.79911908,2871407,80,76.57,43.84,101.98,NA
2020-2021,June,32,WEST BENGAL,3208,COOCHBEHAR,2426251,136.349030134781,19,1913,7176.79020374205,3592,0,113567,5124444,2774248,688131,33671,9468,192.15696,14356.076857542,268549,309147,559234,1260958,47,649401,1436933,117159,6987.1296938,2998943,54,42.58,51.93,100.73,NA
2020-2021,June,32,WEST BENGAL,3212,MURSHIDABAD,2694831,143.301929995032,26,762,8092.902299327,65615,0,198801,7877041,1193355,239469,178755,32180,333.89022,19714.744298827,293250,357033,744645,1682411,469,1328633,2767916,264416,11287.9517795,2489395,93,84.66,52.2,101.08,NA
