fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2020-2021,June,32,WEST BENGAL,3217,DINAJPUR DAKSHIN,634774,138.791451428211,25,293,1221.42920050098,7909,0,28617,1791822,500179,113626,307973,63636,92.24118,3800.56614131099,70755,98188,195672,412961,369,284322,565710,36526,2486.89576081,807890,61,75.02,79.31,99.86,NA
2020-2021,June,32,WEST BENGAL,3220,ALIPURDUAR,3333270,172.5317539231,30,478,7721.15888399803,3583,0,37250,6643216,1775944,194464,1484130,162714,112.09755,19294.913515698,219719,292833,284838,732653,445,323484,812377,40833,11461.6570817,3346895,49,49,61.43,100.43,NA
2020-2021,May,32,WEST BENGAL,3208,COOCHBEHAR,1455752,107.065776194086,14,808,4803.65210636203,2844,1,103243,1841408,1032618,686994,13329,9452,128.83264,6904.00251446203,123358,134407,556028,1256900,0,644602,1430431,106087,1971.5177681,1123418,54,39.04,47.81,101.01,NA
2020-2021,May,32,WEST BENGAL,3209,MALDAH,2299080,152.819971506961,23,8583,17318.429404405,48371,0,116065,3606144,697533,255556,321718,88008,123.62587,22952.963507705,151086,180851,547282,1189832,14,816915,1668763,164436,5510.9082333,2330364,88,76.1,32.25,100.52,NA
2020-2021,May,32,WEST BENGAL,3216,24 PARGANAS SOUTH,1228415,136.01914301077,25,917,9953.686615456,25455,0,261780,4660642,1124316,390686,82315,17535,244.53368,16537.585602656,179283,237509,918437,1971350,141,1239177,2542989,287235,6339.3653072,1963966,83,62.99,53.61,110.48,NA
2020-2021,March,32,WEST BENGAL,3201,NADIA,12719435,172.76971835668,44,2324,2556.893748331,39175,0,63794,12712533,2791157,307265,302023,31371,1115.05501,25635.356218431,287568,400382,458015,1229621,15809,787566,1965243,102969,21963.4074601,5409564,85,53.66,60.66,100.96,NA
2020-2021,March,32,WEST BENGAL,3203,BIRBHUM,20836018,200.484381548468,41,7584,6353.486478141,123906,1,140192,20831951,7115623,522800,1344978,110499,1017.9968,49136.291404971,496920,760409,609872,1449387,19435,783912,1760479,264098,41764.80812683,8892147,81,57.49,50.61,101.38,NA
2020-2021,March,32,WEST BENGAL,3211,PURBA MEDINIPUR,22464813,201.458006545055,51,4520,14346.7543875,147211,0,143008,22460317,2603311,248556,97555,8649,1510.73206,61105.5933394,439499,671734,648108,1736202,31732,929765,2358289,290219,45248.1068919,10563727,83,64.34,43.45,104.53,NA
2020-2021,March,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),8342886,207.770539526498,75,324,6328.884818619,6155,0,9146,8338849,630178,19597,2755359,86658,499.14023,24153.696606219,109723,139324,117759,260073,22969,149316,308429,15301,17325.6715576,4268203,13,20.87,44.85,106.3,NA
2020-2021,March,32,WEST BENGAL,3220,ALIPURDUAR,15316813,208.371912332552,56,703,11327.2116540702,27565,0,29227,15312776,4274089,200348,3161473,165831,436.46642,43671.2022564702,272794,407480,297482,754387,21596,357246,872464,56792,31907.5241824,7641319,52,48.42,63.42,102.32,NA
2020-2021,Jan,32,WEST BENGAL,3205,HOWRAH,7324031,197.384623134133,41,730,4999.489419664,21771,0,31015,7667078,1335322,93884,22365,1320,387.75315,20520.875585364,182778,227432,258276,443231,9181,373122,604138,52786,15133.6330157,3174351,73,45.42,52.85,101.44,NA
2020-2021,Jan,32,WEST BENGAL,3208,COOCHBEHAR,19046507,191.144427880652,43,4205,18282.8521977074,24745,0,121815,20812433,10805983,698246,121343,9594,586.90608,58651.5642636014,480599,666101,577547,1292262,8522,683934,1495501,146560,39781.805985894,12138511,54,39.73,56.12,102.91,NA
2020-2021,Jan,32,WEST BENGAL,3215,24 PARGANAS (NORTH),15917362,176.784440500403,54,1134,8878.86388985401,73927,0,103295,16700186,4824077,343823,888349,60776,996.2241,39398.4183724807,307854,404621,491396,1088221,31534,889085,1831534,177222,29523.3303826267,8834545,80,56.59,40.13,106.98,NA
2020-2021,Jan,32,WEST BENGAL,3220,ALIPURDUAR,14019545,202.992679605406,52,666,11325.6301040702,27172,0,29270,14089317,3909701,200266,2960082,165768,363.2445,40289.1567204702,266908,394013,297156,753954,15995,352130,863497,56442,28600.2821164,7027331,52,48.16,63.12,101.68,NA
2020-2021,Nov,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,3041893,165.781305587615,43,876,402.407232306,8327,0,5595,3046291,1706029,127661,518374,33108,221.03763,5673.625854104,69815,101797,95274,243277,5086,141715,342355,13922,5050.180991798,1539184,80,66.68,75.43,100,NA
2020-2021,Nov,32,WEST BENGAL,3211,PURBA MEDINIPUR,12873352,193.281486471363,44,3480,13761.18318675,132008,0,140665,15288717,1745839,248462,62227,8641,1092.04512,44403.48778675,342597,510037,645187,1732138,14558,874092,2261024,272673,29550.25948,6826821,83,67.48,41.11,102.26,NA
2020-2021,Nov,32,WEST BENGAL,3213,BANKURA,19709076,175.490886624737,43,5022,3833.09814869501,39222,0,67602,18842209,8445481,619276,2424106,184224,731.42636,37630.8841424809,437831,798446,507968,1417345,20431,660058,1749639,106824,33066.3596337859,8854732,85,69.97,80.12,100,NA
2020-2021,Nov,32,WEST BENGAL,3217,DINAJPUR DAKSHIN,4509044,173.697995465422,37,507,1696.95644386198,15638,0,30851,4268225,1169771,114807,687241,64187,283.12164,9393.89935081597,115101,167491,199357,418808,4344,290782,575965,46489,7413.82126695399,1965195,65,66.12,84.78,99.9,NA
2020-2021,Nov,32,WEST BENGAL,3218,DINAJPUR UTTAR,7502859,179.387975985281,49,1647,3715.76079227801,30212,0,105749,9025631,2367171,204999,268257,27560,338.48844,20245.1460030781,182542,282549,312968,750142,12202,537743,1217727,135961,16190.8967708,4705970,82,76.07,77.93,100.91,NA
2020-2021,Nov,32,WEST BENGAL,3222,JHARGRAM,5354605,203.707801517861,39,617,2137.306566063,21713,0,25982,5342254,1111674,114275,1773163,165194,349.07694,13368.971680963,134701,196193,193725,519642,4884,254205,650822,47695,10882.5881749,2104668,77,60.76,69.46,100.58,NA
2020-2021,July,32,WEST BENGAL,3203,BIRBHUM,2380702,183.473313023549,26,4913,3927.081635156,53459,0,156581,10071763,3684916,522898,740958,110472,328.29584,22734.374731136,373668,513718,606569,1449270,1303,756739,1727819,210040,18478.99725598,3887875,81,71.88,50.22,101.74,NA
2020-2021,July,32,WEST BENGAL,3209,MALDAH,5692950,175.491042289126,33,17319,20186.476528079,74991,0,122894,9154552,1862825,257355,771503,89068,238.71187,36490.607119779,273339,347853,556920,1203065,1209,837205,1696497,197885,16065.4187217,5436721,89,78.86,46.41,101.54,NA
2020-2021,July,32,WEST BENGAL,3212,MURSHIDABAD,5205924,179.780036225391,30,935,8794.934765485,89634,0,198526,10852609,1553243,239615,232480,32191,444.45576,28750.214917085,352063,437745,746696,1685496,1561,1337776,2780718,288160,19510.8243916,3439829,93,84.32,55.34,100.77,NA
2020-2021,July,32,WEST BENGAL,3222,JHARGRAM,1535000,190.781918276832,30,443,1737.303653784,12497,0,28617,3313479,705405,114207,1116780,165133,166.42871,8225.251161684,109050,152202,192909,518821,755,251667,647443,41114,6321.5187979,1327467,75,72.01,67.52,100.56,NA
2020-2021,Sep,32,WEST BENGAL,3203,BIRBHUM,12068980,189.535978669997,30,5876,3966.361077668,93014,0,126524,12840270,4634171,522797,920181,110479,525.22442,28828.516906038,417327,594803,607794,1447725,3506,760961,1730209,219538,24336.93140837,5075131,80,65.11,51.15,101.5,NA
2020-2021,Sep,32,WEST BENGAL,3212,MURSHIDABAD,13566409,192.318099343061,31,960,8843.026161407,117498,0,179938,11516134,1618162,239618,239416,32198,654.39334,31645.029528007,361583,449586,747104,1685820,1869,1344435,2789528,297436,22147.6100266,3640585,93,80.71,52.93,100.84,NA
2020-2021,Sep,32,WEST BENGAL,3221,KALIMPONG,2333126,182.825549615471,65,312,3918.86640742997,1681,0,2222,2537001,183517,8838,829548,43607,0,8557.15242942997,38844,53085,54191,129536,5806,61558,142689,3903,4638.286022,1316515,26,21.66,38.72,101.23,NA
2020-2021,July,32,WEST BENGAL,3206,HOOGHLY,4028249,172.23598055902,30,4297,9369.22332518901,9049,0,55368,16980883,7338130,620602,1370030,124484,450.50938,39066.923047819,555237,768485,685541,1482315,4904,818969,1704313,64417,29247.19034263,6895112,47,55.14,82.79,106.11,NA
2020-2021,July,32,WEST BENGAL,3208,COOCHBEHAR,3791020,178.643765483348,23,2471,10057.192919504,11298,0,113542,7767619,4166107,691137,48058,9533,192.15696,24125.716949504,335758,402117,564599,1270489,160,656820,1450000,124840,13876.36707,4544282,55,42.7,52.95,100.46,NA
2020-2021,July,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),444110,152.992003103188,35,149,5719.76971508201,3898,0,7554,2101065,149722,19079,694033,84335,142.8352,9077.066345082,59055,70940,111851,252537,273,135409,289819,11452,3214.46143,1087928,13,14.9,41.52,103.55,NA
2020-2021,Aug,32,WEST BENGAL,3206,HOOGHLY,12430991,177.36585678995,35,4564,9512.16149163101,16256,0,51085,21256071,9020340,622554,1653574,124632,545.80859,47758.9825306611,591863,831053,693508,1494187,11851,836181,1729579,67341,37701.01244903,8523337,47,49.76,81.82,105.2,NA
2020-2021,Aug,32,WEST BENGAL,3216,24 PARGANAS SOUTH,17992814,175.240138508775,47,2818,15608.375428329,87747,0,316497,25337290,5557415,401378,296135,17792,710.8566,60720.3341186989,530238,758482,987931,2064720,21679,1350130,2694354,404244,44401.10209037,10241565,85,69.23,57.33,108.42,NA
2020-2021,Aug,32,WEST BENGAL,3222,JHARGRAM,3042614,193.603647007083,33,487,1758.185441231,15593,0,28681,3920039,831200,114233,1333750,165139,209.78926,9557.313169331,117423,166217,193223,519017,1485,252761,648635,44274,7589.3384681,1563198,76,68.22,68.21,100.52,NA
2020-2021,April,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,45529,83.3100059206631,13,1,163.473477532,4,8,1489,8445,2633,73316,2985,43185,12.18936,182.698367532,623,651,66182,156423,0,99922,223315,1493,7.03553,4474,50,88.41,72.54,100,NA
2020-2021,April,32,WEST BENGAL,3208,COOCHBEHAR,727877,463.359290937278,15,87,2964.554057031,1270,24,96146,154810,93109,686766,1118,9449,63.32432,3745.204895331,10161,11603,555130,1255659,0,643268,1428545,97416,717.3265183,93053,55,34.21,61.45,100.94,NA
2020-2021,April,32,WEST BENGAL,3209,MALDAH,1037640,167.463501479162,19,3722,8443.76834504091,11054,2,140780,1379497,223011,254346,120010,87367,59.5407,10813.4630240409,70129,77920,538385,1177684,0,798870,1644323,151834,2310.153979,1021097,88,66.76,21.03,100.52,NA
2020-2021,April,32,WEST BENGAL,3214,PURULIA,520537,84.5477301992764,18,574,362.37682191,4549,10,80187,620495,155542,244534,165272,266428,65.66808,952.65934041,34244,43461,353825,1112252,1,528249,1561960,84736,524.6144385,282479,85,91.04,7.9,100.12,NA
2020-2021,April,32,WEST BENGAL,3215,24 PARGANAS (NORTH),363693,75.3083025189097,15,164,1063.253801532,1728,36,109710,656673,181618,337674,35029,59995,85.66237,1643.445460932,41379,46770,467064,1053691,0,766383,1652555,111438,494.5292894,373800,75,39.41,21.4,129.8,NA
2020-2021,April,32,WEST BENGAL,3216,24 PARGANAS SOUTH,402137,180.067481669708,21,267,3497.558790315,17962,31,240293,1120004,294524,389015,29666,17523,117.68064,5632.002427715,51842,69120,901998,1950494,3,1212338,2508528,258255,2016.7629974,486561,82,54.07,51.71,103.25,NA
2020-2021,April,32,WEST BENGAL,3220,ALIPURDUAR,952360,208.222973625578,17,36,1734.305800301,368,4,36379,262565,65296,193384,66844,161871,34.63685,2315.663301001,15311,17522,281647,726939,0,319015,804349,36747,546.7206507,119069,49,44.34,56.05,103.63,NA
2020-2021,April,32,WEST BENGAL,3222,JHARGRAM,25000,157.704953591366,19,37,403.600514206,468,5,34672,209767,48022,114202,79876,165236,41.00796,775.421424206,10888,13281,191059,517515,0,247772,643507,35140,330.81295,83906,77,69.38,19.76,103.8,NA
2020-2021,Oct,32,WEST BENGAL,3201,NADIA,8400545,163.158751213795,32,1852,2169.830535601,31030,0,47750,7443596,1612713,306910,181939,31348,591.83478,14906.543594601,231353,305952,456051,1226811,3057,754105,1915585,78780,12144.878279,3120599,84,56.16,59.9,100.94,NA
2020-2021,Oct,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,1014035,188.5403145114,31,130,428.815833579,652,0,2281,1173312,553209,73643,342456,43857,105.60683,2746.588798579,37679,42376,67722,158467,1042,103431,228375,2933,2212.166135,732583,64,55.13,67.78,100.33,NA
2020-2021,Oct,32,WEST BENGAL,3214,PURULIA,10447277,170.756974403356,45,4355,2132.172220129,55927,0,73807,11076826,2342335,247649,2688766,269040,477.28001,21523.9051676532,244868,405115,366919,1132563,10609,555123,1603028,129734,18914.4529375242,5064840,88,75.41,67.18,101.09,NA
2020-2021,Oct,32,WEST BENGAL,3215,24 PARGANAS (NORTH),8534943,174.744476081167,43,937,8127.97593707501,62665,0,102515,11566109,3449505,342809,659520,60651,661.51094,29000.6234521017,268611,338931,487079,1081807,11179,821863,1727887,165180,20211.1365750267,6213852,79,57.05,37.97,106.4,NA
2020-2021,Oct,32,WEST BENGAL,3225,PURBA BARDHAMAN,16719711,186.805855279643,26,6096,7332.292276003,67756,0,68306,18023311,6782864,718484,1420056,149355,1137.76404,42138.656579263,680624,905189,805979,1940637,3158,943402,2201985,136062,33668.60026326,6932004,72,40.16,68.25,100.8,NA
2020-2021,Nov,32,WEST BENGAL,3201,NADIA,9776589,162.541380308316,35,1970,2346.703980931,33655,0,48083,8584314,1870758,307057,206443,31356,672.25608,16972.022526531,245005,327615,456585,1227594,5024,756185,1918695,81738,13953.0624656,3605548,83,56.08,61.44,100.81,NA
2020-2021,Nov,32,WEST BENGAL,3207,JALPAIGURI,11998633,196.332200912632,41,1081,5477.77890536499,15842,0,31747,12905092,4830850,364154,1938765,137828,300.81122,31115.441278765,310900,428400,376012,927392,6153,442424,1058804,47589,25336.8511534,6605250,29,48.33,75.78,100.36,NA
2020-2021,Nov,32,WEST BENGAL,3208,COOCHBEHAR,9906485,190.675031421048,35,3579,17151.3787109561,22965,0,115052,15352925,8026596,696373,87464,9583,460.49024,46886.0635187561,433894,574701,573750,1286506,2850,672533,1476987,138017,29274.1945678,9008409,55,38.24,54.12,101.88,NA
2020-2021,Nov,32,WEST BENGAL,3214,PURULIA,11946339,173.943525365606,47,4531,2313.216783771,60926,0,70838,12095064,2524914,247777,2869483,269211,542.59297,23894.3904705973,253907,422055,367813,1133919,13633,556887,1605779,131764,21038.5807168263,5521085,88,74.27,66.63,101.1,NA
2020-2021,Nov,32,WEST BENGAL,3225,PURBA BARDHAMAN,17838699,188.278971906705,28,6175,7923.51595840999,73775,0,72685,19457810,7315435,718460,1516576,149315,1137.76404,45696.2446219699,688625,923575,806546,1941006,4517,946928,2206450,146460,36634.96462356,7470408,74,38.84,66.37,100.78,NA
2020-2021,March,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,1800005,199.915988838381,38,186,508.851192949,863,0,2552,1795976,841809,73950,519804,44145,183.3425,4282.636872649,47113,54853,68265,159407,3666,118210,253633,3415,3590.4431797,1109088,63,54.77,67.49,106.18,NA
2020-2021,March,32,WEST BENGAL,3207,JALPAIGURI,16940750,207.772318651205,52,1174,5812.63139061499,17186,0,36410,16936713,6458637,364395,2432872,138075,531.68075,41534.113444015,324649,468414,376596,928217,16467,450527,1071246,53596,35189.8013034,8673594,28,49.33,74.6,101.4,NA
2020-2021,March,32,WEST BENGAL,3209,MALDAH,22948818,198.307173476714,52,26470,23179.457136323,141955,0,100046,22943402,4343031,260429,1635726,89694,891.09489,69568.9640319229,434994,590078,573981,1228377,18802,902692,1790400,242001,45498.4120056,12757788,88,65.24,47.98,104.83,NA
2020-2021,March,32,WEST BENGAL,3212,MURSHIDABAD,19080276,189.965147906251,45,1268,10504.479519401,156170,0,174749,19075901,2278785,239595,319346,32158,1362.54951,48104.592578501,420341,559585,748016,1686586,13689,1371224,2827697,330919,36237.5635491,6221383,93,75.35,50.25,101.76,NA
2020-2021,March,32,WEST BENGAL,3214,PURULIA,15101362,182.237513268794,53,5124,2510.745325635,66120,0,84982,15097207,2963785,247892,3432012,269151,859.60655,30883.1264854772,283694,478167,369820,1136196,22323,579525,1642005,151102,27512.7746098422,6895599,89,68.58,62.31,102.61,NA
2020-2021,Oct,32,WEST BENGAL,3206,HOOGHLY,21202472,184.282301500293,44,4847,11673.316784991,23339,0,48022,28284460,11736951,624065,2202282,124874,811.69057,64608.2612099209,628557,903680,699353,1502812,31055,854151,1756080,71361,52123.2538549298,11225157,45,44.21,80.2,103.96,NA
2020-2021,Oct,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,18757918,195.364768006508,43,2801,6947.20922316,40069,0,104751,23755106,5838740,401959,2643030,231428,861.52233,54217.83927976,542182,856282,682980,1727656,32801,841986,2044388,144820,46409.1077266,9613867,69,50.71,65.11,101.79,NA
2020-2021,Oct,32,WEST BENGAL,3217,DINAJPUR DAKSHIN,3686575,174.891074388816,32,467,1602.52910820098,15154,0,29097,3471132,943673,114498,565048,64107,253.07158,7926.30073645497,105350,150348,198754,417830,2759,289824,574402,44251,6070.70004825399,1597607,64,66.61,84.44,99.83,NA
2020-2021,Oct,32,WEST BENGAL,3218,DINAJPUR UTTAR,7295576,178.046241578601,46,1539,3522.90897560201,27743,0,105050,7948055,2097702,204884,240262,27526,304.56067,17978.6828517021,172030,264233,312295,748979,8226,535677,1214129,132793,14151.2132061,4135497,82,76.01,76.97,101,NA
2020-2021,Oct,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),4096918,189.632609990456,58,269,6144.46205871701,5336,0,7760,5413947,395359,19400,1797589,85798,258.84184,16669.912898317,93248,116005,115345,256830,5002,140124,295625,13096,10266.6089996,2782319,13,16.89,43.77,106.25,NA
2020-2021,Oct,32,WEST BENGAL,3220,ALIPURDUAR,8948415,204.167594696695,45,609,10230.7224509882,22914,0,28617,11499319,3089883,198569,2508625,164844,260.68695,33969.2924097882,252029,362905,293574,747616,8010,336411,834731,51531,23477.8830088,5747389,51,49.08,63.98,101.03,NA
2020-2021,Aug,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,990038,164.696500456208,32,790,317.772907577,5929,0,6788,2054545,1174753,127583,361984,33022,153.13098,3854.667602875,63724,88495,95100,242993,837,140850,340997,12717,3383.763715298,1030158,79,72.87,72.36,100,NA
2020-2021,Aug,32,WEST BENGAL,3207,JALPAIGURI,7788915,194.36477705122,30,962,4127.10572875999,11682,0,32281,8873047,3372431,363065,1263895,137763,200.7023,21573.88604796,287990,373930,374989,925423,978,440225,1054579,43963,17246.0780192,4467206,31,51.36,77.13,100.23,NA
2020-2021,Aug,32,WEST BENGAL,3209,MALDAH,9157804,181.929444928124,38,18670,20210.153233863,89586,0,112514,11418269,2290331,257879,938282,89209,295.99534,41279.341985963,295470,380510,559391,1206901,2644,843328,1705886,202100,20773.1934121,6791830,89,79.32,46.63,102.65,NA
2020-2021,Aug,32,WEST BENGAL,3214,PURULIA,6312613,171.246334211884,35,3499,1799.194624545,43247,0,78851,7027102,1557815,246978,1756053,268416,327.08819,14159.937390875,196106,310808,363717,1127608,2451,548815,1593132,122098,12033.65457633,3216700,88,81.5,64.52,100.9,NA
2020-2021,Aug,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),2945631,157.828765694327,43,226,5758.90169253201,4586,0,7686,3336078,239248,19217,1110146,85106,178.25005,11202.442472532,77068,94086,113635,254761,1442,137646,292594,12272,5265.29073,1725325,13,15.46,42.54,105.66,NA
2020-2021,Aug,32,WEST BENGAL,3220,ALIPURDUAR,7265108,194.125097862379,38,561,8910.91035149213,17587,0,28431,9182078,2394638,196951,2074706,163799,182.81725,26918.4455047921,238413,333119,289982,741347,3607,330607,824532,46018,17824.7179033,4602185,47,50.19,63.71,101.13,NA
2020-2021,Jan,32,WEST BENGAL,3201,NADIA,10954469,162.864354794779,41,2271,2556.893748331,36885,0,64321,11796487,2562962,307270,279585,31370,799.77438,22568.940569331,281329,387592,457970,1229601,12116,780612,1955527,101206,19212.272441,4991651,85,56.33,63.04,100.99,NA
2020-2021,April,32,WEST BENGAL,3207,JALPAIGURI,20095,177.534925625694,16,27,1056.768054462,1362,2,35891,211565,74313,362392,24426,137477,40.02286,1472.392679862,12576,14923,373413,922709,0,437705,1050318,37253,375.6017654,95405,34,39.58,34.99,99.65,NA
2020-2021,April,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,1768694,106.248946223839,17,291,1342.915505496,4024,14,94596,1354206,435241,396215,151258,230686,103.97933,2885.724440196,79299,113323,635277,1649387,3,767463,1921133,98620,1438.8296047,571377,70,38.12,33.24,102.22,NA
2020-2021,June,32,WEST BENGAL,3205,HOWRAH,802366,154.005988442742,18,440,2691.952676938,3788,4,26088,1820328,363576,92657,5678,1292,107.0937,5602.460506238,98989,115368,239594,418643,60,323557,541362,29876,2803.4141293,752842,69,60.54,62.68,103.44,NA
2020-2021,June,32,WEST BENGAL,3207,JALPAIGURI,703323,148.746017738067,23,764,3508.06826041499,3663,0,37738,5593507,2146904,362680,741925,137639,120.65658,11948.843754815,242909,299402,374165,924016,92,438981,1052409,41401,8320.1189144,2822927,32,51.79,74.56,99.92,NA
2020-2021,June,32,WEST BENGAL,3213,BANKURA,1763849,139.962133246992,28,3827,2445.696073727,5023,0,87486,9901792,4690767,616735,1344120,183638,279.85072,16584.306106607,347959,591836,499208,1402864,1479,637598,1710395,92509,13858.75931288,4454567,86,78.11,78.64,100.02,NA
2020-2021,June,32,WEST BENGAL,3214,PURULIA,1671033,157.827086340269,27,2659,1548.561089846,27650,0,71077,4185368,982802,246067,1099318,267576,197.232,8351.437456864,150868,230352,359416,1120940,332,539202,1578563,98727,6605.644367018,1946227,86,89.92,60.59,100.7,NA
2020-2021,June,32,WEST BENGAL,3215,24 PARGANAS (NORTH),1751728,146.902992534733,26,503,5585.46381948002,7031,0,127928,4295939,1273555,340055,236574,60423,282.7732,12179.0999679467,162658,190632,476718,1067406,118,794466,1690905,134959,6310.86294846666,2388278,77,77.14,44.62,116.5,NA
2020-2021,June,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),233486,124.987605926097,25,103,5170.21762791101,2910,0,7472,1006126,73383,19058,337064,84097,107.38068,6535.13110791101,40052,47155,110420,251530,18,133433,288038,10382,1257.5328,523756,14,18.72,41.77,102.63,NA
2020-2021,June,32,WEST BENGAL,3221,KALIMPONG,197430,123.43933047272,33,236,3910.35045907297,1331,0,1962,834320,57427,8769,281446,42937,0,4940.22948107297,24708,33167,52563,127845,44,59554,140517,3293,1029.879022,429943,27,22.2,30.75,103.32,NA
2020-2021,June,32,WEST BENGAL,3225,PURBA BARDHAMAN,4186304,145.145848883904,16,3838,4509.194934365,22950,0,91793,7769629,3071817,717789,634947,149084,442.99706,16229.485961545,473296,586905,799303,1932841,164,927330,2180706,114743,11277.29396718,3062383,72,50.9,66.36,100.74,NA
