fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,Dec,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,0,186.876716901238,17,129,0,2197,0,2680,247970,113082,104856,47034,26656,342.45093,805.8491249,14084,17129,93109,202165,6,141897,376471,4877,463.3981949,131735,58,45.69,40.89,100.22,NA
2022-2023,Dec,32,WEST BENGAL,3206,HOOGHLY,0,205.998780136143,16,387,0,5083,3,33953,1457884,611247,557137,95179,107203,1073.94596,4077.1692158,87893,106107,739112,1387768,37,840718,1810080,39036,3003.2232558,705234,19,37.28,48.41,102.06,NA
2022-2023,Dec,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,0,226.475467432082,21,956,0,36880,0,91705,4596026,792844,328804,356903,171901,1147.73744,11556.6088068,212961,275579,707966,1489492,203,891934,2201246,128585,10408.8713668,2246047,62,52.88,46.65,104.68,NA
2022-2023,Dec,32,WEST BENGAL,3214,PURULIA,0,225.442568296201,30,680,0,49267,0,34011,1916212,177907,167253,289426,179737,735.73882,5055.6963668,63738,84256,356163,819617,49,540874,1726805,83278,4319.9575468,811180,87,77.48,21.34,100.29,NA
2022-2023,Dec,32,WEST BENGAL,3225,PURBA BARDHAMAN,0,215.81753720027,22,564,0,46775,0,37786,1966518,548369,595955,139823,119450,1370.49957,5614.5902862,86078,103619,798226,1634967,31,916814,2248639,84561,4244.0907162,833931,65,58.4,22.11,100.97,NA
2022-2023,Aug,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,0,233.716852774437,15,21,0,151,0,2734,116420,61256,63584,30349,38076,71.33098,343.42414,7279,7633,70930,139436,0,116419,263421,2885,272.09316,86952,59,64.99,66.32,100,NA
2022-2023,Aug,32,WEST BENGAL,3206,HOOGHLY,0,205.073665912151,16,387,0,3378,3,35585,1441543,603206,557137,93286,107203,582.57729,3538.8023658,87692,105805,739112,1387768,37,832721,1817435,38963,2956.2250758,698041,19,39.43,49.87,102,NA
2022-2023,Aug,32,WEST BENGAL,3218,DINAJPUR UTTAR,0,345.503109275908,22,83,0,6900,11,93373,200886,46164,149656,2656,16376,165.67851,859.7458861,9092,13004,280412,557874,0,523927,1349086,100273,694.0673761,106544,85,23.65,27.38,100.32,NA
2022-2023,Oct,32,WEST BENGAL,3201,NADIA,0,194.481997115632,18,524,0,25171,0,25975,1616992,286502,189431,36296,19613,721.31181,3866.0701448,85678,99263,384994,817098,15,763600,2102746,51146,3144.7583348,731246,77,60.31,46.35,100.07,NA
2022-2023,Oct,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,0,186.33920033971,17,129,0,2129,0,2747,246092,112394,104856,46876,26656,270.32897,728.8948349,14058,17098,93109,202165,6,141483,378437,4876,458.5658649,130789,58,47.05,42.13,100.22,NA
