fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2019-2020,Dec,32,WEST BENGAL,3206,HOOGHLY,14212847,160.014988112872,26,1379,14777.055962669,33997,0,40978,5295644,2490200,594905,480090,122035,1057.18541,24308.065489769,201772,256681,597506,1330655,1374,745069,1596648,74975,8473.8241171,2263739,67,40.68,29.87,107.82,NA
2019-2020,Dec,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,17500000,162.505161066222,38,2068,8598.156612663,30246,0,82509,11719962,3076595,374815,1425467,220017,1149.05836,28792.758097663,302806,473072,575746,1513672,12161,759510,1908264,112755,19045.543125,5279198,74,52.53,60.13,130.48,NA
2019-2020,Dec,32,WEST BENGAL,3215,24 PARGANAS (NORTH),9393516,154.691248014256,42,673,9419.75960014246,52765,1,75986,8249156,2679174,336971,520629,56872,1009.37744,23189.8594071854,195310,238372,458474,1040880,7358,750872,1632607,128751,12760.7223670429,5336621,71,60.81,36.88,123.43,NA
2019-2020,Nov,32,WEST BENGAL,3203,BIRBHUM,11615080,166.362728127641,31,2843,4057.272066175,46755,0,89177,6217092,2352442,518015,544469,110043,824.12072,15224.3166475803,199343,292610,572256,1393838,1938,719927,1688098,135932,10342.9238614053,2661377,75,65.56,46.19,107.92,NA
2019-2020,Nov,32,WEST BENGAL,3206,HOOGHLY,12377047,174.930749195027,26,944,12117.951374667,32054,0,39237,3880565,1838848,595069,377273,122085,964.90427,19871.157072167,146058,183836,597246,1330662,702,744550,1596267,71291,6788.3014275,1621332,67,40.83,24.11,105.81,NA
2019-2020,Nov,32,WEST BENGAL,3207,JALPAIGURI,5870457,168.375535808588,27,465,4214.81072915601,9875,0,28854,4485977,1715594,354132,662489,134524,409.4596,12177.558139156,160542,201311,362524,896600,784,435398,1046270,38729,7553.28781,2081969,43,40.69,53.31,103.67,NA
2019-2020,July,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,268603,185.241210866495,35,66,40.960425518,1240,0,2311,522634,256452,71024,131654,41127,62.7569,1071.850875518,14804,16981,63490,150792,36,98531,220880,3551,968.13355,335934,73,51.14,49.8,99.95,NA
2019-2020,July,32,WEST BENGAL,3214,PURULIA,3325290,165.039626272926,30,1375,311.640383541,10162,2,45397,2196554,412674,229472,503285,251694,344.86444,4281.689336024,71962,114082,319901,1022178,511,517367,1545492,55559,3625.184512483,1062688,78,80.66,65.06,104.94,NA
2019-2020,July,32,WEST BENGAL,3216,24 PARGANAS SOUTH,8212400,208.272243436937,39,676,1394.405004738,39771,2,166975,3664752,822203,347288,53561,15232,621.7497,9648.815911538,93244,136442,741666,1660265,1683,1092695,2336011,206746,7632.6612068,1616428,79,55.7,38.8,126.8,NA
2019-2020,July,32,WEST BENGAL,3218,DINAJPUR UTTAR,3214286,186.443374219418,32,697,637.222302068,3707,1,50114,2183628,582695,184456,68692,25316,183.24713,4891.699155668,66347,99119,263798,645601,625,482921,1121439,53821,4071.2297236,1064393,72,73.02,72.44,116.39,NA
2019-2020,July,32,WEST BENGAL,3220,ALIPURDUAR,3075300,216.390043560429,23,189,1228.827756181,5013,1,35714,2323439,682663,186633,466078,155787,166.448,6422.966420381,98570,122371,266383,694479,112,311657,792216,40727,5027.6906642,1170363,55,44.16,58.26,106.4,NA
2019-2020,July,32,WEST BENGAL,3221,KALIMPONG,727094,370.351676911019,32,8,0,1061,1,1858,24241,1742,8135,6126,40411,0,89.77695,745,772,46949,119792,0,53850,133268,2919,89.77695,11058,37,100,0,119.85,NA
2019-2020,July,32,WEST BENGAL,3222,JHARGRAM,2774661,180.940298721709,27,282,336.419866321,8296,0,31512,1527743,359331,111441,571333,161919,203.4185,3304.141114221,55542,76938,183672,503687,181,242422,638505,39808,2764.3027479,625916,77,79.41,54.57,110.98,NA
2019-2020,July,32,WEST BENGAL,3225,PURBA BARDHAMAN,7036200,183.030461575944,30,1466,2870.722001823,11656,0,87825,3862268,1528560,707273,449619,147781,661.3995,10601.248449523,124836,168692,765995,1876411,841,908461,2166256,99481,7069.1269477,1734389,66,46.33,26.98,112.96,NA
2019-2020,May,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,133871,96.4308797373102,23,61,37.582875495,515,0,2621,299669,144520,71009,79710,41080,31.2988,357.855128495,12749,14326,63412,150665,0,98284,220463,3136,288.973453,191414,70,51.91,51.17,99.95,NA
2019-2020,Sep,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,1515256,183.917670738629,44,234,456.083125125,5153,0,7567,775220,449562,125848,131756,31686,237.72737,2119.577062225,17597,23218,91188,235632,123,135886,333666,12720,1425.7665671,406949,79,68.58,20.4,100.11,NA
2019-2020,Sep,32,WEST BENGAL,3205,HOWRAH,2600881,194.073329248231,27,273,4291.42145983801,15965,0,16296,1332484,280635,86251,6605,1209,335.95065,7213.36817033801,48901,56093,198955,360983,366,276608,484116,32261,2585.9960605,657275,61,55.3,43.86,106.98,NA
2019-2020,Sep,32,WEST BENGAL,3208,COOCHBEHAR,5264700,178.752551470338,23,1359,7078.62341211804,23866,0,70818,4086577,1984743,666760,33790,9679,493.9813,14877.465367418,174867,210642,528662,1200051,184,638952,1421727,94684,7304.8606553,2563887,63,40.33,51.13,100.95,NA
2019-2020,Sep,32,WEST BENGAL,3216,24 PARGANAS SOUTH,12905200,197.807916755328,39,936,10043.626374145,52154,0,191323,5879079,1354203,357228,82983,16082,956.3195,22629.229568445,148142,209333,772216,1702880,3529,1137656,2400894,243477,11629.2836943,2585322,81,52.51,36.62,125.88,NA
2019-2020,Sep,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),1777592,200.406157249901,23,50,3748.686669927,1953,0,5879,239555,16884,18170,75776,79920,340.7519,4569.521539927,10038,10839,102282,239813,1,126666,280786,7832,480.08297,130984,29,33.53,45.95,112.89,NA
2019-2020,Sep,32,WEST BENGAL,3225,PURBA BARDHAMAN,10554300,193.132970818765,31,1690,11270.939442632,30573,0,71135,4692262,1863914,707722,529202,148011,1021.3122,21354.556641832,149249,199145,768933,1878863,1311,912762,2170478,101708,9062.3049992,2069767,66,44.15,24.96,111.51,NA
2019-2020,May,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,3800000,141.08505570134,30,561,519.92304204,4639,4,75999,2598591,798703,374729,214497,219922,255.1052,4441.25180184,85662,126267,568401,1504574,587,742607,1883350,80638,3666.2235598,1270170,73,60.84,61.18,139.14,NA
2019-2020,May,32,WEST BENGAL,3215,24 PARGANAS (NORTH),1526460,99.2683322731529,23,267,535.2971001685,4994,8,91236,2092411,653538,334966,105403,56624,221.0506,2833.4492041685,90779,103875,450436,1029136,19,726550,1597491,96230,2077.101504,1341291,64,58.36,53.1,142.86,NA
2019-2020,May,32,WEST BENGAL,3216,24 PARGANAS SOUTH,3050320,207.518644631459,33,293,1299.795054394,3553,57,187891,1520022,303953,346046,23835,15067,307.7596,4761.883706894,45320,66553,735509,1652501,363,1081207,2320441,191444,3154.3290525,675874,78,52.14,43.53,139.68,NA
2019-2020,May,32,WEST BENGAL,3217,DINAJPUR DAKSHIN,586721,210.990045352028,20,34,294.562979383003,2998,4,42469,122817,32027,109812,15369,60610,76.9043,630.598923383003,5859,7024,182069,388110,20,265250,536003,45467,259.131644,73869,71,42.65,51.79,136.18,NA
2019-2020,May,32,WEST BENGAL,3220,ALIPURDUAR,1139000,122.086248800879,18,103,1169.479849838,2558,0,35547,1005945,324441,186667,189591,155765,83.224,2480.824365338,55746,66270,265777,694280,1,310673,791406,38105,1228.1205155,508950,55,48.03,58.58,109.15,NA
2019-2020,May,32,WEST BENGAL,3225,PURBA BARDHAMAN,2814480,131.537759693422,26,1182,2742.537173036,3975,4,90823,2399127,973233,708257,288856,148105,327.3069,6225.601981036,89859,121058,765763,1878600,182,908021,2168200,94798,3155.757908,1104112,65,47.85,29.57,118.06,NA
2019-2020,Jan,32,WEST BENGAL,3201,NADIA,9821118,142.213365045456,31,1245,3907.349770762,24577,0,45702,4745609,1106408,330615,144424,32688,1037.83309,11694.073111562,150653,196221,457557,1246763,1689,730369,1884309,70279,6748.8902508,2102447,81,57.62,52.14,103.57,NA
2019-2020,Jan,32,WEST BENGAL,3203,BIRBHUM,16221060,156.614609532777,33,4806,5471.998561675,52455,0,159886,11388573,4474654,517768,957244,109982,1000.3776,24308.5452969803,335358,492177,572961,1394199,5632,725142,1694408,212341,17836.1691353053,4729078,82,71.31,48.94,106.38,NA
2019-2020,Jan,32,WEST BENGAL,3208,COOCHBEHAR,11281500,170.395095438489,36,2463,18905.963345777,33247,0,68710,11170860,5759391,666996,81692,9686,775.05006,38715.610964077,304689,393046,529210,1200897,2038,641268,1425655,101957,19034.5975583,7202398,62,45.44,55.12,100.56,NA
2019-2020,Jan,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),3828543,152.143279522114,47,258,4151.35902492301,3962,0,7905,3932823,284250,18193,1315908,80119,506.7423,10641.627214923,82340,101130,102961,240558,1833,127943,281988,11867,5983.52589,2018769,22,12.74,43.77,102.1,NA
2019-2020,Jan,32,WEST BENGAL,3225,PURBA BARDHAMAN,22281300,154.597741700149,29,3912,18033.864992881,49673,0,101370,13058970,5286859,706120,1150367,148009,1614.42079,39837.158492181,438527,573126,769824,1873908,6563,914732,2166783,151043,20188.8727093,5469969,75,46.98,38.13,106.98,NA
2019-2020,March,32,WEST BENGAL,3203,BIRBHUM,20026000,174.037453305364,42,5718,5549.586208737,63453,0,161122,16452628,6546692,517412,1354462,109923,1182.04952,35365.3705017423,386459,588753,573194,1393674,13166,731366,1701301,224575,28633.7347730053,6749715,81,71.87,47.68,106.43,NA
2019-2020,March,32,WEST BENGAL,3205,HOWRAH,6268000,186.809687278155,50,507,6106.723409141,36906,0,22402,5351433,1069530,86858,15189,1211,619.0112,16722.729861341,105000,126359,201443,364340,7608,286222,496039,59308,9996.99525220001,2938066,74,61.04,40.54,104.15,NA
2019-2020,March,32,WEST BENGAL,3208,COOCHBEHAR,15042000,185.623318554408,44,2855,19027.201680415,36833,0,87894,15130103,7856124,666965,106680,9678,934.81688,48047.0178497151,336496,459319,529278,1200854,8761,642726,1427943,124727,28084.9992893,9577840,61,43.83,53.78,102.26,NA
2019-2020,March,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,22500000,187.546268145813,51,2692,8623.642236245,43836,0,86420,20093754,5172819,374586,2446805,219865,1539.20083,47847.928823645,391416,643000,576405,1514124,44079,764596,1915935,130256,37685.0857574,8973135,73,58.49,65.57,119.9,NA
2019-2020,April,32,WEST BENGAL,3204,SILIGURI MAHAKUMA PARISAD,59009,27.0587974508174,13,14,1.1226403,2,9,2619,36090,18508,71001,10383,41062,15.6494,26.5375603,2630,2811,63383,150625,0,98218,220354,2621,9.76552,24365,65,15.62,29.57,99.83,NA
2019-2020,Feb,32,WEST BENGAL,3206,HOOGHLY,17468216,125.146619465593,33,2988,14920.59175569,37922,0,46880,12863662,6154927,595281,1117949,122046,1266.91658,32285.94646817,382420,516990,598769,1332329,8645,748421,1601598,84802,16098.43813248,5698575,64,46.23,47.55,110.04,NA
2019-2020,Feb,32,WEST BENGAL,3211,PURBA MEDINIPUR,14323000,170.645610062774,49,3326,32366.039381293,160701,0,174901,15332750,2343202,244023,65934,8303,1399.02861,59929.732768193,309564,478398,590897,1630421,20365,815844,2169938,335602,26164.6647769,7881946,76,55.74,43.41,108.37,NA
2019-2020,Feb,32,WEST BENGAL,3209,MALDAH,9349959,160.38699682637,48,21865,21144.3158711749,41357,0,145200,14617330,3037734,243466,1060299,80082,833.58598,45422.1984543749,302074,411440,474286,1068918,10374,780539,1618046,186557,23444.2966032,8618300,86,76.79,60.1,117.7,NA
2019-2020,Feb,32,WEST BENGAL,3213,BANKURA,13466130,148.678253416348,43,3319,4935.541193768,31695,0,65688,12772468,6401026,579596,1946982,173100,1178.81682,25104.24035433,293506,511941,441645,1265377,16240,617178,1681398,97383,18989.882340562,6197607,87,73.26,61.01,100.44,NA
2019-2020,Feb,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),4558043,164.302141310661,59,267,4151.35902492301,4162,0,7993,5246469,382110,18202,1749867,80152,576.0575,13347.477435123,88442,111242,103037,240642,4439,131011,285207,12155,8620.0609102,2683226,21,13.63,46.75,102.24,NA
2019-2020,July,32,WEST BENGAL,3205,HOWRAH,1484644,185.776153572397,24,256,659.686115137,10255,1,20648,1073383,227158,85279,5446,1195,218.513,2872.288765637,44065,50216,193065,353805,247,268587,474408,30903,1994.0896505,511536,60,58.11,51.34,107.31,NA
2019-2020,July,32,WEST BENGAL,3209,MALDAH,3929960,178.139714448506,29,9124,4485.643325486,6157,0,89014,2885364,650185,239936,268493,78159,312.89538,9938.517895886,99245,135559,453566,1038889,549,713533,1520686,95171,5139.9791904,1428794,78,72.89,72.4,117.97,NA
2019-2020,July,32,WEST BENGAL,3215,24 PARGANAS (NORTH),3537455,153.225584849973,31,441,599.1288303365,23924,1,85791,4552019,1476928,335054,255987,56636,442.15064,8016.1372055684,145779,171134,450810,1029726,708,728042,1599911,109715,6974.8577352319,2926899,68,60.73,44.96,126.5,NA
2019-2020,Aug,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,1179766,170.552227250223,42,200,91.124637109,3501,0,8998,678644,396650,125743,114301,31646,192.07177,1440.638864209,15938,21101,90998,235392,41,135583,333263,12499,1157.4424571,356853,79,71.78,17.64,100.12,NA
2019-2020,Aug,32,WEST BENGAL,3206,HOOGHLY,7202560,193.669433364083,30,516,1694.254174736,15987,0,41613,2417390,1178400,594830,264874,122045,589.01977,6965.019459936,80317,104398,596239,1329494,117,742831,1594147,57600,4681.7455152,1035319,65,39.86,19.15,104.54,NA
2019-2020,Aug,32,WEST BENGAL,3209,MALDAH,4410242,171.617827586447,30,9947,4485.643325486,7116,0,93562,3451608,782547,240404,323567,78360,389.27956,10798.497551886,112514,153432,455457,1042057,707,717614,1527472,100678,5923.5746664,1743560,78,73.31,69.8,118.39,NA
2019-2020,Aug,32,WEST BENGAL,3211,PURBA MEDINIPUR,4750000,187.92316092741,32,1761,3471.352213815,76316,0,176611,5871840,796464,243272,21854,8272,668.31458,15174.214126415,179919,262583,579610,1616159,3914,796253,2142318,252927,11034.5473326,3244492,71,47.77,49.64,110.97,NA
2019-2020,Aug,32,WEST BENGAL,3216,24 PARGANAS SOUTH,10558800,209.00374578422,41,768,1394.405004738,43664,1,168555,4559654,1044463,354848,63670,15661,775.3895,11699.642159538,109158,159629,763768,1691533,2528,1124144,2381719,212219,9529.8476548,2015455,79,54.58,35.84,124.13,NA
2019-2020,Aug,32,WEST BENGAL,3217,DINAJPUR DAKSHIN,1449419,185.907339032069,30,100,311.789678594004,7863,1,41772,624115,171647,110233,122499,60967,192.3134,1664.378667594,20135,27522,184157,390724,145,269005,541086,49635,1160.275589,341115,69,60.61,57.32,121.35,NA
2019-2020,Aug,32,WEST BENGAL,3222,JHARGRAM,3299591,184.305968105375,28,306,336.419866321,11044,0,29353,1752521,406192,111615,667320,162047,253.58402,3820.00468162099,60730,84194,184267,504619,256,243526,640226,40397,3230.00079529999,710275,77,68.65,46.83,109.92,NA
2019-2020,Aug,32,WEST BENGAL,3225,PURBA BARDHAMAN,9381600,188.506204634209,31,1540,2870.722001823,17245,0,83342,4285305,1702510,707502,488797,147874,827.8311,11776.618914323,134105,180577,767585,1877677,988,910695,2168404,100587,8078.0658125,1908820,66,45.61,25.22,112.37,NA
2019-2020,Sep,32,WEST BENGAL,3206,HOOGHLY,9122742,187.529408527904,27,606,8723.97360287698,22493,0,38348,2716189,1314934,594810,290702,122022,729.87374,14547.500509077,98907,125707,596571,1329787,195,743332,1594702,60841,5093.6531662,1146715,65,39.43,19.47,105.16,NA
2019-2020,Sep,32,WEST BENGAL,3213,BANKURA,5559649,164.223783600104,34,1224,2572.76333779,16299,0,43973,4068477,2143453,578659,693204,172935,667.60634,9921.77654209,118172,194038,438461,1261428,1997,609583,1670623,60272,6681.4068643,2165691,84,71.92,40.33,100.64,NA
2019-2020,Sep,32,WEST BENGAL,3217,DINAJPUR DAKSHIN,1830478,158.722726026721,30,151,810.619380902013,17575,1,34812,992261,270194,110332,178274,60968,238.2631,2623.82618940201,32429,45211,184865,391600,260,269947,542296,52387,1574.9437085,530530,69,57.69,60.47,121.17,NA
2019-2020,Sep,32,WEST BENGAL,3221,KALIMPONG,1235217,382.582103532988,61,10,1660.48500077,1551,0,1396,56581,4597,8164,15078,40497,0,1876.95378077,919,1042,47212,120123,0,54146,133654,2947,216.46878,24798,37,100,0,111.34,NA
2019-2020,May,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,470043,89.236112505711,25,134,91.124637109,446,3,10044,194799,116948,125336,29561,31525,75.4024,340.358091909,7764,10526,90363,234486,0,134591,331869,10490,173.8310548,97320,76,60.26,15.05,100.08,NA
2019-2020,May,32,WEST BENGAL,3203,BIRBHUM,2803640,122.660849709206,29,973,698.233510137,10437,3,107483,2029612,746957,514368,172595,108899,200.2318,3388.004635137,68458,103753,559321,1381222,44,695489,1660880,117920,2489.539325,888741,76,66.24,40.8,107.42,NA
2019-2020,May,32,WEST BENGAL,3207,JALPAIGURI,511525,100.074453954101,19,149,773.802462799,557,0,31528,1141296,502802,353757,123678,134443,98.564,2014.512202799,59442,71165,361757,895274,12,433965,1043827,32085,1142.14574,549997,42,55.69,64.36,103.47,NA
2019-2020,May,32,WEST BENGAL,3211,PURBA MEDINIPUR,2000000,122.783841147632,25,959,3205.1446394,12706,2,234511,2751196,367342,242174,9295,8255,263.43025,6846.5990157,109059,152604,572824,1605029,498,787203,2127103,247217,3378.0241263,1546492,71,47.44,49.77,122.23,NA
2019-2020,May,32,WEST BENGAL,3214,PURULIA,1237982,120.589819777336,25,472,300.604442716,3248,4,48402,679050,121943,228908,142034,251270,172.72954,1292.199153914,26538,40540,318267,1019682,141,514821,1541762,51650,818.865171198,328374,78,81.91,61.82,107.82,NA
2019-2020,April,32,WEST BENGAL,3212,MURSHIDABAD,3341805,206.410423281948,27,99,189.784553908,4336,22,143041,937035,147294,232286,24333,30188,127.0498,2250.972263708,34462,42983,666324,1576714,16,1208282,2630404,147377,1934.1379098,331058,93,56.98,20.06,103.97,NA
2019-2020,April,32,WEST BENGAL,3215,24 PARGANAS (NORTH),793217,38.7860309027479,17,145,81.154642556,1719,65,88474,953378,286886,334812,57272,56587,110.511,561.443128256,55020,62206,450003,1028440,0,725545,1595887,90193,369.7774857,602974,62,39.97,39.17,150.51,NA
2019-2020,April,32,WEST BENGAL,3225,PURBA BARDHAMAN,1172700,68.7393937934741,20,801,403.757454877,1010,32,89850,1287548,534113,708403,159156,148137,163.7382,1452.548344877,63654,83192,765671,1879213,14,907815,2168637,90860,885.05269,601823,64,50.51,34.16,127.86,NA
2019-2020,Jan,32,WEST BENGAL,3212,MURSHIDABAD,15706483,175.390325913617,52,600,12202.526593262,90848,1,198413,11970718,2156897,235168,365802,30996,1175.5215,34373.529407662,229408,278720,688520,1590873,3845,1256011,2678353,289261,20995.4813144,3904011,95,69.83,15.77,105.61,NA
2019-2020,Jan,32,WEST BENGAL,3217,DINAJPUR DAKSHIN,3488881,157.8747006456,44,350,1963.66385918801,24056,1,34056,3333644,911185,111416,536888,61970,384.19377,7610.83811477803,75489,113873,187664,396950,3757,275997,553159,58112,5262.98048559002,1651952,69,58.12,75.55,108.83,NA
2019-2020,Jan,32,WEST BENGAL,3220,ALIPURDUAR,9852350,175.595966725266,39,459,6897.251314568,15621,1,33682,7862963,2173856,187122,1710902,156224,385.2035,21089.500707668,198374,270492,268019,697329,4679,316235,800433,49303,13807.0458931,4028026,55,39.3,56.73,105.65,NA
2019-2020,June,32,WEST BENGAL,3207,JALPAIGURI,885023,156.199502337902,25,181,777.152222799,1061,0,31877,1748576,748492,353855,188766,134454,148.7626,3657.181832799,68971,87076,361957,895636,98,434347,1044488,32938,2731.26701,835185,42,55.62,60.92,104.74,NA
2019-2020,June,32,WEST BENGAL,3213,BANKURA,2630736,150.029951768287,35,613,418.480109121,5298,0,46599,2235044,1185882,578148,346302,172773,324.15643,4095.871974321,63349,103410,436618,1259162,1225,606171,1665706,51897,3353.2354352,1185328,83,75.96,44.75,100.68,NA
2019-2020,June,32,WEST BENGAL,3214,PURULIA,1891007,130.505900661617,26,1175,300.716192716,6423,2,47917,1670756,310212,229138,385651,251504,258.93254,2740.083898374,62065,97161,319170,1020909,294,516164,1543437,54340,2180.435165658,808777,78,83.89,66.84,105.29,NA
2019-2020,June,32,WEST BENGAL,3225,PURBA BARDHAMAN,4690800,162.125957476722,30,1359,2749.286533036,6816,0,90489,3335867,1325105,707810,397300,147943,498.0142,8655.607046936,111195,150843,765892,1877691,652,908268,2167385,97305,5408.3063139,1512384,66,47.89,29.26,114.29,NA
