fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2019-2020,Aug,32,WEST BENGAL,3203,BIRBHUM,6408320,184.93428758498,34,1508,727.747832441,28326,1,96100,3588409,1373329,515758,303668,109171,505.19538,7869.1418322263,103310,157879,564366,1386677,452,704373,1671189,124426,6636.1986197853,1575636,76,67.16,39.08,107.61,NA
2019-2020,Aug,32,WEST BENGAL,3214,PURULIA,4887572,155.956848972169,32,1625,311.640383541,14727,0,44120,2922466,569240,229634,678069,251840,431.07338,5300.499649424,88934,141186,320394,1023005,922,518386,1547187,58847,4557.785885883,1403402,78,79.16,62.54,104.5,NA
2019-2020,June,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,731212,135.690624019381,31,172,91.124637109,943,0,10425,369027,223454,125365,59956,31520,115.6188,707.478476209,11850,15667,90399,234528,1,134673,331991,11368,500.7350391,192692,78,70.1,17.48,100.07,NA
2019-2020,June,32,WEST BENGAL,3206,HOOGHLY,3998538,156.478275040328,25,464,1675.933029036,8669,1,46144,1802732,859156,594583,199180,121998,354.6843,4851.501266236,71618,92528,595444,1328425,47,741486,1592230,54813,2820.8839372,791557,64,35.82,23.29,105.35,NA
2019-2020,June,32,WEST BENGAL,3210,PASCHIM MEDINIPUR,6000000,146.842173156571,31,826,523.70703204,8846,1,74090,3834160,1088037,374641,375922,219980,383.4783,6537.34919834,120132,183675,569213,1505463,1098,744056,1885389,82936,5630.1638663,1868474,73,65.18,63.4,133.72,NA
2019-2020,April,32,WEST BENGAL,3211,PURBA MEDINIPUR,1000000,58.9864461676797,20,557,712.434295444,7450,20,238202,1322319,178064,242160,5186,8255,131.98515,1624.408430544,65292,91224,572669,1604777,29,786879,2126539,245652,779.9889851,722588,71,34.41,37.01,140.62,NA
2019-2020,April,32,WEST BENGAL,3221,KALIMPONG,159000,0,0,0,0,184,33,1881,0,0,8135,0,40267,0,3.01971,0,0,46463,119510,0,52872,132370,2065,3.01971,0,13,0,0,0,NA
2019-2020,Feb,32,WEST BENGAL,3205,HOWRAH,5839705,175.666980267514,47,482,6101.637058743,29402,0,26804,4778516,940008,86848,14206,1211,583.6353,15079.547117543,99605,118506,201346,364215,4446,284812,494351,56206,8394.2747588,2661667,74,64.03,38.96,103.24,NA
2019-2020,Feb,32,WEST BENGAL,3207,JALPAIGURI,11253114,171.785103611798,42,957,6254.351756066,12677,0,34780,11890007,4472656,354361,1881010,134678,547.3729,27226.985500466,279690,374937,363065,897550,7482,436814,1048789,47457,20425.2608444,5630214,41,43.05,61.81,102.32,NA
2019-2020,Feb,32,WEST BENGAL,3212,MURSHIDABAD,16207753,178.730801629583,55,725,12203.260553262,106603,1,189268,14319494,2607057,235114,434098,30996,1301.6058,39098.212768762,258494,322220,689114,1589599,5741,1267207,2690075,295871,25593.3464155,4655118,95,70.92,18.17,105.08,NA
2019-2020,Feb,32,WEST BENGAL,3222,JHARGRAM,7349088,172.87363420217,42,727,2931.003924647,23621,0,32765,5222464,1103061,111582,1840797,162064,546.33914,12505.606376347,123296,185171,185742,505131,5798,247364,643298,56386,9028.26331170001,2120308,80,63.99,58.82,105.84,NA
2019-2020,Nov,32,WEST BENGAL,3208,COOCHBEHAR,8273100,160.559539566963,28,1832,14298.69852294,27728,0,70000,6892164,3402573,666888,53617,9683,652.02646,26016.75176754,240743,295879,528968,1200545,700,639945,1423456,97728,11066.0267846,4407682,63,43.29,53.91,100.72,NA
2019-2020,Nov,32,WEST BENGAL,3209,MALDAH,6062234,164.131835112336,35,12794,16386.637489627,22282,0,105959,5660569,1214392,242227,437328,79278,644.81996,26322.253227127,160991,218908,467757,1059512,2086,747661,1570768,128241,9290.7957775,3006656,82,75.14,69.17,123.62,NA
2019-2020,Nov,32,WEST BENGAL,3220,ALIPURDUAR,7403500,177.871646198096,29,290,4806.91749159199,12756,1,32231,4197818,1148666,186911,910354,155965,343.123,12616.768472592,141886,182512,267134,695842,968,314072,796682,44987,7466.727981,2105524,57,40.29,52.96,106.44,NA
2019-2020,Oct,32,WEST BENGAL,3201,NADIA,5949711,193.630658310819,20,522,2111.225779241,21645,0,17759,1155199,257824,330154,32275,32620,751.8439,5099.889107741,56910,69889,454576,1243905,75,722858,1875761,39404,2236.8194285,520020,71,41.03,28.49,104.54,NA
2019-2020,Oct,32,WEST BENGAL,3206,HOOGHLY,10730280,184.825137020923,27,689,9555.02158093199,29033,0,36522,3141564,1489752,594934,323381,122055,847.43837,16208.859918532,113531,142701,596804,1330129,364,743702,1595227,65555,5806.3999676,1314313,66,40.39,21.2,105.65,NA
2019-2020,Oct,32,WEST BENGAL,3213,BANKURA,6859927,166.205018660125,35,1413,2744.449826402,21726,0,40768,4898413,2535946,579074,836870,173046,774.57364,11660.431707102,139722,230877,439538,1262913,2860,611093,1672735,62494,8141.4082407,2548503,84,72.6,45.13,100.57,NA
2019-2020,Oct,32,WEST BENGAL,3217,DINAJPUR DAKSHIN,2134349,145.165128530374,34,181,814.424985673013,19040,1,34701,1415891,386662,110442,250258,61067,276.7328,3146.53777567301,41424,58204,185271,392100,491,270611,543232,53741,2055.37999,740215,69,56,64.95,119.63,NA
2019-2020,Dec,32,WEST BENGAL,3205,HOWRAH,4935764,173.545681768295,35,384,6061.695431143,20309,0,32947,2915712,566954,86788,10606,1211,496.1023,11617.889999943,81330,93532,200384,362908,1296,279021,487360,53256,5060.0922688,1621710,74,61.95,36.75,104.77,NA
